name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Virtus KAR Mid-Cap Growth Fund Class A (PHSKX),Mid-Cap Growth,6,21.92,1.48,0.97,0.87
Franklin DynaTech Fund Class C (FDYNX),Large Growth,6,20.22,1.61,0.97,0.88
Baron Real Estate Fund Institutional Shares (BREIX),Real Estate,8,21.38,1.51,0.90,0.81
Artisan Mid Cap Fund Investor Class (ARTMX),Mid-Cap Growth,6,20.49,1.58,0.83,0.76
PGIM Jennison International Opportunities Fund- Class C (PWJCX),Foreign Large Growth,7,17.73,1.82,0.83,0.63
PGIM Jennison Focused Growth Fund-Class Z (SPFZX),Large Growth,6,23.75,1.36,1.16,0.91
Baron Real Estate Fund Retail Shares (BREFX),Real Estate,8,21.39,1.50,0.90,0.81
Virtus AllianzGI Mid-Cap Growth Fund Class C (RMDCX),Mid-Cap Growth,6,21.84,1.47,1.00,0.94
Quantified STF Fund Advisor Class (QSTAX),Tactical Allocation,6,27.92,1.15,,
Virtus AllianzGI Technology Fund Institutional Class (DRGTX),Technology,7,21.75,1.47,0.98,0.86
Rydex Technology Fund Class Investor (RYTIX),Technology,7,20.90,1.52,1.07,0.89
Wells Fargo Specialized Technology Fund Institutional Class (WFTIX),Technology,7,21.71,1.47,0.97,0.86
Buffalo Small Cap Fund Institutional Class (BUISX),Small Growth,7,25.91,1.23,,
Franklin Focused Growth Fund Class A (FFQBX),Large Growth,6,,,,
PGIM Jennison Focused Growth Fund-Class A (SPFAX),Large Growth,6,23.75,1.34,1.16,0.91
Osterweis Emerging Opportunity Fund (OSTGX),Small Growth,7,25.73,1.23,0.94,0.79
Buffalo Small Cap Fund (BUFSX),Small Growth,7,25.90,1.22,1.02,0.92
Kinetics Internet Fund No Load Class (WWWFX),Miscellaneous Sector,7,30.00,1.05,1.13,0.48
Emerald Insights Fund Class A (EFCAX),Large Growth,6,22.85,1.38,1.10,0.90
Emerald Insights Fund Investor Class (EFCNX),Large Growth,6,22.84,1.38,1.10,0.90
Rydex Technology Fund Class A (RYTHX),Technology,7,20.90,1.51,1.07,0.89
Rydex Technology Fund Class H (RYTAX),Technology,7,20.90,1.51,1.07,0.89
Wells Fargo Specialized Technology Fund - Class Admin (WFTDX),Technology,7,21.73,1.45,0.97,0.86
Virtus KAR Mid-Cap Growth Fund Class C (PSKCX),Mid-Cap Growth,6,21.92,1.44,0.96,0.87
Virtus AllianzGI Technology Fund Class A (RAGTX),Technology,7,21.75,1.45,0.98,0.86
Columbia Global Technology Growth Fund Class A (CTCAX),Technology,7,19.77,1.59,0.97,0.96
Wells Fargo Specialized Technology Fund - Class A (WFSTX),Technology,7,21.69,1.45,0.97,0.86
Vanguard U.S. Growth Fund Investor Shares (VWUSX),Large Growth,6,21.78,1.44,1.09,0.95
Pear Tree Essex Environmental Opportunities Fund Institutional Shares (GEOSX),Mid-Cap Growth,6,26.89,1.17,1.30,0.75
Wells Fargo Enterprise Fund - Class Inst (WFEIX),Mid-Cap Growth,6,22.57,1.39,1.04,0.95
Sparrow Growth Fund Class A (SGFFX),Mid-Cap Growth,6,29.78,1.05,1.18,0.53
New Alternatives Fund Class A (NALFX),World Small/Mid Stock,7,19.94,1.57,0.79,0.54
PGIM Jennison Growth Fund- Class Z (PJFZX),Large Growth,6,22.33,1.40,1.12,0.95
Shelton Capital Management Nasdaq-100 Index Fund Direct Shares (NASDX),Large Growth,6,19.91,1.57,,
JPMorgan Growth Advantage Fund Class I (JGASX),Large Growth,6,20.57,1.52,1.03,0.97
Wasatch Emerging Markets Small Cap Fund® Institutional Class (WIEMX),Diversified Emerging Mkts,8,19.73,1.59,0.81,0.83
DWS Science and Technology Fund - Class Inst (KTCIX),Technology,7,19.90,1.57,1.01,0.87
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Leaders Portfolio Class I (MELIX)",Diversified Emerging Mkts,8,21.48,1.45,1.00,0.75
Brown Advisory Sustainable Growth Fund Investor Shares (BIAWX),Large Growth,6,17.99,1.73,0.88,0.92
Wasatch Emerging Markets Small Cap Fund® Investor Class (WAEMX),Diversified Emerging Mkts,8,19.89,1.57,0.81,0.82
USAA NASDAQ-100 Index Fund (USNQX),Large Growth,6,19.88,1.57,1.00,1.00
Sands Capital Global Growth Fund Institutional Shares (SCMGX),World Large-Stock Growth,6,18.42,1.69,0.93,0.79
Calvert Global Energy Solutions Fund Class I (CAEIX),World Small/Mid Stock,7,23.49,1.32,1.19,0.82
Pear Tree Essex Environmental Opportunities Fund Ordinary Shares (EEOFX),Mid-Cap Growth,6,26.84,1.16,1.29,0.75
Alger Weatherbie Specialized Growth Fund Class Z (ASMZX),Mid-Cap Growth,6,26.02,1.19,1.07,0.91
Wells Fargo Enterprise Fund - Class Admin (SEPKX),Mid-Cap Growth,6,22.56,1.37,1.04,0.95
DWS Science and Technology Fund - Class A (KTCAX),Technology,7,19.89,1.56,1.01,0.87
JPMorgan Growth Advantage Fund Class A (VHIAX),Large Growth,6,20.56,1.51,1.03,0.97
JPMorgan Large Cap Growth Fund Class I (SEEGX),Large Growth,6,20.83,1.49,1.03,0.93
Wells Fargo Enterprise Fund - Class A (SENAX),Mid-Cap Growth,6,22.55,1.37,1.04,0.95
PGIM Jennison Growth Fund- Class A (PJFAX),Large Growth,6,22.32,1.39,1.12,0.95
Sands Capital Global Growth Fund Investor Shares (SCGVX),World Large-Stock Growth,6,18.38,1.68,0.93,0.79
Brown Advisory Sustainable Growth Fund Advisor Shares (BAWAX),Large Growth,6,17.97,1.72,0.88,0.92
Fidelity® Select Software and IT Services Portfolio (FSCSX),Technology,7,19.54,1.58,0.98,0.86
Franklin Focused Growth Fund Class C (FFQCX),Large Growth,6,,,,
PGIM Jennison Focused Growth Fund-Class C (SPFCX),Large Growth,6,23.77,1.29,1.16,0.91
Emerald Insights Fund Class C (EFCCX),Large Growth,6,22.81,1.35,1.10,0.90
USAA Nasdaq 100 Index Fund Class A (UANQX),Large Growth,6,19.88,1.55,,
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Leaders Portfolio Class A (MELAX)",Diversified Emerging Mkts,8,21.44,1.43,1.00,0.75
Harbor Capital Appreciation Fund Institutional Class (HACAX),Large Growth,6,22.05,1.39,1.10,0.95
Calvert Global Energy Solutions Fund Class A (CGAEX),World Small/Mid Stock,7,23.45,1.31,1.19,0.82
T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),Communications,7,17.49,1.75,0.82,0.75
Fidelity® OTC Portfolio (FOCPX),Large Growth,6,20.36,1.51,1.00,0.98
Goldman Sachs Technology Opportunities Fund Class A (GITAX),Technology,7,18.70,1.64,0.91,0.96
JPMorgan Large Cap Growth Fund Class A (OLGAX),Large Growth,6,20.83,1.47,1.03,0.93
Alger Weatherbie Specialized Growth Fund Class A (ALMAX),Mid-Cap Growth,6,25.98,1.18,1.07,0.91
American Century Ultra® Fund I Class (TWUIX),Large Growth,6,21.57,1.42,1.10,0.98
Alger Mid Cap Growth Fund Class Z (AMCZX),Mid-Cap Growth,6,21.50,1.42,0.96,0.89
Rydex Technology Fund Class C (RYCHX),Technology,7,20.89,1.46,1.07,0.89
OCM Gold Fund Advisors Class (OCMAX),Equity Precious Metals,8,39.27,0.78,1.00,0.22
Virtus AllianzGI Technology Fund Class C (RCGTX),Technology,7,21.74,1.40,0.98,0.86
Wells Fargo Specialized Technology Fund - Class C (WFTCX),Technology,7,21.73,1.40,0.97,0.86
Columbia Global Technology Growth Fund Class C (CTHCX),Technology,7,19.75,1.54,,
ClearBridge Mid Cap Growth Fund Class I (LBGIX),Mid-Cap Growth,6,21.41,1.42,0.99,0.97
American Century Ultra® Fund Investor Class (TWCUX),Large Growth,6,21.57,1.41,1.10,0.98
JPMorgan Growth Advantage Fund Class C (JGACX),Large Growth,6,20.56,1.47,1.03,0.97
"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class I (MPAIX)",Large Growth,6,22.16,1.37,1.00,0.78
Marsico Growth Fund (MGRIX),Large Growth,6,19.95,1.52,1.00,0.86
Harbor Capital Appreciation Fund Investor Class (HCAIX),Large Growth,6,22.04,1.37,1.10,0.95
BNY Mellon Technology Growth Fund Class A (DTGRX),Technology,7,22.71,1.33,1.06,0.74
Alger Mid Cap Growth Fund Class A (AMGAX),Mid-Cap Growth,6,21.52,1.40,0.96,0.89
Principal Blue Chip Fund Institutional Class (PBCKX),Large Growth,6,19.27,1.56,0.96,0.95
Delaware Smid Cap Growth Fund Class A (DFCIX),Mid-Cap Growth,6,26.58,1.13,1.07,0.86
Wells Fargo Endeavor Select Fund - Class Inst (WFCIX),Large Growth,6,18.17,1.65,0.90,0.94
PGIM Jennison Growth Fund- Class C (PJFCX),Large Growth,6,22.31,1.35,1.11,0.95
American Century Ultra® Fund A Class (TWUAX),Large Growth,6,21.56,1.39,1.10,0.98
ClearBridge Mid Cap Growth Fund Class A (LBGAX),Mid-Cap Growth,6,21.43,1.40,1.00,0.97
Harbor Disruptive Innovation Institutional Class (HAMGX),Mid-Cap Growth,6,23.17,1.29,1.08,0.73
JPMorgan Large Cap Growth Fund Class C (OLGCX),Large Growth,6,20.80,1.44,1.03,0.93
Wells Fargo Enterprise Fund - Class C (WENCX),Mid-Cap Growth,6,22.55,1.33,1.04,0.95
TCW Select Equities Fund Class I (TGCEX),Large Growth,6,19.52,1.53,0.97,0.94
"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class A (MAPPX)",Large Growth,6,22.17,1.35,1.00,0.78
Rydex NASDAQ-100® Fund Investor Class (RYOCX),Large Growth,6,19.93,1.50,1.01,0.98
