name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
Principal Diversified International Fund Class A (PRWLX),Foreign Large Blend,6,16.92,0.73,0.98,0.96
Touchstone Large Cap Fund Class C (TFCCX),Large Blend,6,17.70,0.69,0.91,0.95
T. Rowe Price Equity Income Fund (PRFDX),Large Value,6,20.85,0.59,1.03,0.98
Wells Fargo Emerging Markets Equity Fund - Class Admin (EMGYX),Diversified Emerging Mkts,8,20.21,0.61,1.06,0.94
Fidelity® International Sustainability Index Fund (FNIDX),Foreign Large Blend,6,16.20,0.76,1.00,0.99
Gabelli Asset Fund Class C (GATCX),Large Blend,6,19.27,0.64,1.00,0.92
Guggenheim World Equity Income Fund Institutional Class (SEWIX),World Large-Stock Value,6,17.13,0.72,0.93,0.94
Hartford Small Cap Value Fund Class Y (HSMYX),Small Value,7,28.02,0.44,1.05,0.97
Virtus NFJ Large-Cap Value Fund Institutional Class (ANVIX),Large Value,6,19.30,0.64,0.95,0.96
American Beacon Mid-Cap Value Fund Investor Class (AMPAX),Mid-Cap Value,6,29.04,0.42,1.25,0.99
American Century Investments One Choice 2035 Portfolio I Class (ARLIX),Target-Date 2035,6,11.76,1.04,0.90,0.99
Delaware Mid Cap Value Fund Class A (DLMAX),Mid-Cap Value,6,24.56,0.50,1.06,0.98
Invesco Select Risk: Growth Investor Fund Class A (AADAX),Allocation--70% to 85% Equity,5,15.22,0.81,0.85,0.98
Harding Loevner International Equity Research Portfolio Institutional Class (HLIRX),Foreign Large Growth,7,16.72,0.73,0.97,0.97
Invesco Asia Pacific Growth Fund Class C (ASICX),Pacific/Asia ex-Japan Stk,8,15.80,0.78,0.87,0.94
Invesco Emerging Markets All Cap Fund Class C (GTDCX),Diversified Emerging Mkts,8,19.23,0.64,0.99,0.92
O'Shaughnessy Market Leaders Value Fund Class I (OFVIX),Large Value,6,22.84,0.54,1.12,0.96
TIAA-CREF Managed Allocation Fund Retail Class (TIMRX),Allocation--50% to 70% Equity,5,12.33,0.99,1.10,0.98
Touchstone Small Cap Value Fund Class A (TVOAX),Small Value,7,24.79,0.49,0.92,0.96
Transamerica Mid Cap Value Opportunities I (MVTIX),Mid-Cap Value,6,23.90,0.51,1.03,0.98
Wells Fargo Growth Balanced Fund - Class A (WFGBX),Allocation--50% to 70% Equity,5,12.70,0.97,1.11,0.95
BMO Large-Cap Value Fund Class I (MLVIX),Large Value,6,20.25,0.61,1.01,0.98
Boston Partners Small Cap Value Fund II Institutional Class (BPSIX),Small Value,7,27.76,0.44,1.03,0.96
Vanguard Emerging Markets Select Stock Fund Investor Shares (VMMSX),Diversified Emerging Mkts,8,20.79,0.59,1.10,0.97
Diamond Hill Mid Cap Fund Investor Share (DHPAX),Mid-Cap Value,6,24.91,0.49,1.11,0.93
Invesco Growth and Income Fund Class A (ACGIX),Large Value,6,23.39,0.52,1.16,0.98
Matthews Pacific Tiger Fund Investor Class (MAPTX),Pacific/Asia ex-Japan Stk,8,17.49,0.70,0.94,0.89
T. Rowe Price Global Allocation Fund (RPGAX),World Allocation,5,12.25,1.00,,
Wells Fargo Small Company Value Fund - Class C (SCVFX),Small Value,7,26.14,0.47,0.98,0.98
Janus Henderson Global Allocation Fund - Growth Class I (JGCIX),World Allocation,5,14.60,0.84,0.81,0.96
John Hancock Funds II Multimanager Lifestyle Balanced Portfolio Class A (JALBX),Allocation--50% to 70% Equity,5,12.47,0.98,0.65,0.93
Putnam RetirementReady 2050 Fund Class A (PRRJX),Target-Date 2050,6,15.21,0.81,0.81,0.97
Victory RS Large Cap Alpha Fund Class Y (RCEYX),Large Value,6,20.20,0.61,1.00,0.97
AB Relative Value Fund Class A (CABDX),Large Value,6,20.16,0.61,1.00,0.98
American Funds 2030 Target Date Retirement Fund® Class C (CCETX),Target-Date 2030,6,11.39,1.07,0.84,0.99
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Portfolio Class I (MGEMX)",Diversified Emerging Mkts,8,19.28,0.63,1.01,0.95
TIAA-CREF Lifestyle Moderate Fund Retail Class (TSMLX),Allocation--50% to 70% Equity,5,12.38,0.99,1.11,0.98
Wells Fargo Emerging Markets Equity Fund - Class Inst (EMGNX),Diversified Emerging Mkts,8,20.21,0.60,1.06,0.94
Pacific Funds Small/Mid-Cap Class A (PFDAX),Small Blend,7,24.15,0.51,1.01,0.98
Voya Corporate Leaders Trust Fund Series B (LEXCX),Large Value,6,22.30,0.55,1.14,0.93
Invesco International Small Company Fund Class C (IEGCX),Foreign Small/Mid Blend,7,20.00,0.61,0.96,0.94
Matthews Asia Dividend Fund Institutional Class (MIPIX),Diversified Pacific/Asia,7,15.14,0.81,0.93,0.86
Templeton Developing Markets Trust Class C (TDMTX),Diversified Emerging Mkts,8,19.68,0.62,1.04,0.97
Templeton Emerging Markets Small Cap Fund Class A (TEMMX),Diversified Emerging Mkts,8,21.86,0.56,0.93,0.90
Touchstone Global ESG Equity Fund - Class A (TEQAX),World Large-Stock Blend,6,18.27,0.67,1.02,0.96
Astor Sector Allocation Fund Class A (ASPGX),Tactical Allocation,6,16.01,0.76,0.82,0.90
JPMorgan Mid Cap Value Fund Class A (JAMCX),Mid-Cap Value,6,22.83,0.53,0.99,0.99
Permanent Portfolio Permanent Portfolio Class C (PRPHX),Allocation--30% to 50% Equity,4,11.90,1.02,-6.14,0.02
Shelton International Select Equity Fund Investor Class (SISLX),Foreign Large Blend,6,15.82,0.77,0.91,0.94
American Century Real Estate Fund C Class (ARYCX),Real Estate,8,18.68,0.65,0.98,0.97
BlackRock LifePath® Index 2030 Fund Investor A Shares (LINAX),Target-Date 2030,6,11.90,1.02,0.62,0.96
Hartford Small Cap Value Fund Class I (HSEIX),Small Value,7,27.99,0.43,1.05,0.97
Pioneer Balanced ESG Fund Class C (PCBCX),Allocation--50% to 70% Equity,5,12.23,1.00,0.65,0.95
TETON Westwood Equity Fund Class AAA (WESWX),Large Value,6,17.93,0.68,0.94,0.93
AB Equity Income Fund Class A (AUIAX),Large Value,6,18.25,0.67,0.97,0.95
BlackRock LifePath® Dynamic 2030 Fund Investor A Shares (LPRDX),Target-Date 2030,6,13.27,0.92,0.68,0.95
"Cohen & Steers Global Realty Shares, Inc. Class A (CSFAX)",Global Real Estate,7,18.06,0.67,0.89,0.98
Pax International Sustainable Economy Fund Institutional Class (PXNIX),Foreign Large Blend,6,16.76,0.73,0.97,0.97
American Beacon Mid-Cap Value Fund Class A (ABMAX),Mid-Cap Value,6,29.02,0.42,1.25,0.99
BlackRock International Dividend Fund Institutional Shares (BISIX),Foreign Large Blend,6,14.63,0.83,0.80,0.86
BNY Mellon Natural Resources Fund Class C (DLDCX),Natural Resources,8,26.99,0.45,1.20,0.67
Davis Global Fund Class C (DGFCX),World Large-Stock Blend,6,21.18,0.57,1.07,0.79
Federated Hermes MDT Large Cap Value Fund Class A (FSTRX),Large Value,6,20.30,0.60,1.00,0.97
Federated Hermes MDT Large Cap Value Fund Service Shares (FSTKX),Large Value,6,20.29,0.60,1.00,0.97
MFS Moderate Allocation Fund Class C (MMACX),Allocation--50% to 70% Equity,5,11.21,1.08,0.59,0.93
Victory RS Value Fund Class A (RSVAX),Mid-Cap Value,6,22.11,0.55,0.95,0.98
William Blair Small Cap Value Fund Class I (ICSCX),Small Blend,7,26.20,0.46,0.98,0.98
BNY Mellon Active MidCap Fund - Class A (DNLDX),Mid-Cap Blend,6,21.03,0.58,0.96,0.98
Calvert Moderate Allocation Fund Class C (CMACX),Allocation--50% to 70% Equity,5,12.03,1.01,0.62,0.97
Delaware Emerging Markets Fund Class C (DEMCX),Diversified Emerging Mkts,8,21.74,0.56,1.14,0.94
Invesco Emerging Markets Innovators Fund Class A (EMIAX),Diversified Emerging Mkts,8,22.82,0.53,1.11,0.82
MFS Total Return Fund Class I (MTRIX),Allocation--50% to 70% Equity,5,11.55,1.05,0.61,0.95
Nuveen Multi Cap Value Fund Class C (NQVCX),Mid-Cap Value,6,24.70,0.49,1.19,0.96
Principal LifeTime 2025 Fund Institutional Class (LTSTX),Target-Date 2025,5,11.82,1.03,1.10,0.99
AB Discovery Value Fund Class A (ABASX),Small Value,7,26.51,0.46,1.04,0.98
Columbia Capital Allocation Moderate Aggressive Portfolio Class A (NBIAX),Allocation--50% to 70% Equity,5,13.63,0.89,0.73,0.96
JPMorgan Value Advantage Fund Class A (JVAAX),Large Value,6,21.76,0.56,1.07,0.99
Voya Multi-Manager Emerging Markets Equity Fund Class I (IEMGX),Diversified Emerging Mkts,8,20.00,0.61,1.05,0.96
American Century Small Company Fund C Class (ASQCX),Small Blend,7,24.48,0.50,0.98,0.98
American Funds American Balanced Fund® Class A (ABALX),Allocation--50% to 70% Equity,5,10.68,1.14,,
MFS Lifetime 2030 Fund Class A (MLTAX),Target-Date 2030,6,12.03,1.01,0.63,0.94
PGIM Jennison Natural Resources Fund - Class Z (PNRZX),Natural Resources,8,33.54,0.36,1.56,0.74
DWS Global Small Cap Fund - Class A (KGDAX),World Small/Mid Stock,7,22.47,0.54,0.99,0.97
PGIM Jennison Global Infrastructure Fund- Class A (PGJAX),Infrastructure,7,16.06,0.75,0.76,0.76
Royce Total Return Fund Investment Class (RYTRX),Small Blend,7,22.67,0.53,0.84,0.95
Ave Maria Value Fund (AVEMX),Mid-Cap Blend,6,21.75,0.56,0.89,0.91
Federated Hermes International Leaders Fund Class A Shares (FGFAX),Foreign Large Blend,6,18.62,0.65,1.07,0.96
JPMorgan U.S. Applied Data Science Value Fund Class A (JIVAX),Large Value,6,20.51,0.59,1.02,0.98
Putnam Dynamic Asset Allocation Growth Fund Class C (PAECX),Allocation--70% to 85% Equity,5,15.42,0.79,0.80,0.98
Timothy Plan Small Cap Value Fund Class A (TPLNX),Small Blend,7,24.83,0.49,0.97,0.93
American Beacon Bahl & Gaynor Small Cap Growth Fund Investor Class (GBSPX),Small Growth,7,20.15,0.60,0.75,0.82
Artisan International Fund Advisor Class (APDIX),Foreign Large Growth,7,15.96,0.76,0.88,0.89
Davis Appreciation & Income Fund Class C (DCSCX),Allocation--70% to 85% Equity,5,17.08,0.71,0.86,0.86
Nuance Mid Cap Value Fund Investor Class (NMAVX),Mid-Cap Value,6,14.28,0.85,0.59,0.90
Poplar Forest Partners Fund Institutional Class (IPFPX),Large Value,6,25.88,0.47,1.26,0.80
Transamerica Small/Mid Cap Value Fund Class I (TSVIX),Mid-Cap Value,6,24.09,0.50,0.95,0.99
Delaware Small Cap Value Fund Class A (DEVLX),Small Value,7,26.97,0.45,1.01,0.97
Matthews Asia Dividend Fund Investor Class (MAPIX),Diversified Pacific/Asia,7,15.15,0.80,0.93,0.86
Principal Strategic Asset Management Balanced Portfolio Institutional Class (PSBIX),Allocation--50% to 70% Equity,5,12.05,1.00,0.62,0.96
Touchstone Value Fund Class C (TVLCX),Large Value,6,21.33,0.57,1.05,0.97
Voya SmallCap Opportunities Fund Class A (NSPAX),Small Growth,7,24.45,0.49,0.99,0.97
American Century Mid Cap Value Fund I Class (AVUAX),Mid-Cap Value,6,20.38,0.59,0.87,0.97
BNY Mellon Opportunistic Small Cap Fund Investor Shares (DSCVX),Small Blend,7,26.41,0.46,1.05,0.97
Wells Fargo Target 2040 Fund - Class Admin (WFLWX),Target-Date 2040,6,14.59,0.83,0.95,0.99
American Funds American Balanced Fund® Class F-1 (BALFX),Allocation--50% to 70% Equity,5,10.67,1.13,,
Dodge & Cox Balanced Fund (DODBX),Allocation--50% to 70% Equity,5,16.19,0.75,0.82,0.87
Franklin Multi-Asset Growth Fund A (SCHAX),Allocation--85%+ Equity,6,16.50,0.73,-0.30,0.00
Hotchkis & Wiley Small Cap Diversified Value Fund Class I (HWVIX),Small Value,7,30.02,0.40,1.13,0.98
Janus Henderson Global Allocation Fund - Growth Class T (JSPGX),World Allocation,5,14.61,0.83,0.82,0.96
Touchstone International ESG Equity Fund Class C (TPYCX),Foreign Large Blend,6,18.02,0.67,1.02,0.92
Undiscovered Managers Behavioral Value Fund Class I (UBVSX),Small Value,7,31.33,0.39,1.17,0.97
Eaton Vance Large-Cap Value Fund Class C (ECSTX),Large Value,6,19.99,0.60,1.00,0.99
Fidelity® Real Estate Investment Portfolio (FRESX),Real Estate,8,18.51,0.65,0.83,0.69
First Eagle Fund of America Class A (FEFAX),Large Blend,6,21.10,0.57,1.06,0.86
Rondure Overseas Fund Institutional Class (ROSIX),Foreign Large Growth,7,13.56,0.89,0.72,0.81
AMG Yacktman Special Opportunities Fund Class I (YASSX),Foreign Small/Mid Value,7,23.23,0.52,,
Pacific Funds Portfolio Optimization Moderate Fund Class C (POMCX),Allocation--50% to 70% Equity,5,12.92,0.93,0.68,0.95
Thrivent Moderate Allocation Fund Class S (TMAIX),Allocation--50% to 70% Equity,5,11.00,1.10,0.58,0.96
T. Rowe Price Retirement 2020 Fund (TRRBX),Target-Date 2020,5,11.43,1.05,1.26,0.99
RBC Microcap Value Fund Class A (TMVAX),Small Value,7,24.43,0.49,,
American Beacon Bahl & Gaynor Small Cap Growth Fund A Class (GBSAX),Small Growth,7,20.19,0.60,0.75,0.82
American Century Investments One Choice 2035 Portfolio Investor Class (ARYIX),Target-Date 2035,6,11.78,1.02,0.90,0.99
Davis Financial Fund Class C (DFFCX),Financial,7,25.26,0.48,1.19,0.76
Delaware Global Listed Real Assets Fund A Class (DPREX),World Allocation,5,16.41,0.73,,
WPG Partners Small/Micro Cap Value Fund (WPGTX),Small Value,7,27.69,0.43,1.03,0.97
JHancock Infrastructure Fund Class I (JEEIX),Infrastructure,7,13.31,0.90,0.66,0.77
Virtus AllianzGI Global Allocation Fund Institutional Class (PALLX),World Allocation,5,11.70,1.03,0.65,0.94
American Funds Moderate Growth and Income Portfolio Class C (BLPCX),Allocation--50% to 70% Equity,5,11.18,1.07,0.59,0.96
BrandywineGLOBAL - Diversified US Large Cap Value Fund Class I (LBWIX),Large Value,6,20.36,0.59,1.01,0.98
RiverNorth Core Opportunity Fund Class I (RNCIX),Allocation--50% to 70% Equity,5,17.50,0.69,0.85,0.79
BMO Dividend Income Fund Class A (BADIX),Large Value,6,20.55,0.58,1.02,0.98
GuideStone Funds Emerging Markets Equity Fund Investor Class (GEMZX),Diversified Emerging Mkts,8,19.16,0.63,1.02,0.98
Transamerica Asset Allocation Moderate Growth Portfolio Class C (IMLLX),Allocation--50% to 70% Equity,5,14.37,0.84,0.78,0.95
Victory RS Large Cap Alpha Fund Class A (GPAFX),Large Value,6,20.20,0.59,1.00,0.97
Virtus AllianzGI Emerging Markets Opportunities Fund Class A (AOTAX),Diversified Emerging Mkts,8,19.28,0.62,1.01,0.95
Virtus AllianzGI Global Dynamic Allocation Fund Class C (ASACX),Tactical Allocation,6,12.00,1.00,0.67,0.97
Becker Value Equity Fund Institutional Class (BVEIX),Large Value,6,19.27,0.62,0.94,0.95
BMO Large-Cap Value Fund Class A (BALVX),Large Value,6,20.26,0.59,1.01,0.98
Guggenheim World Equity Income Fund Class P (SEQPX),World Large-Stock Value,6,17.10,0.70,0.92,0.94
Kirr Marbach Partners Value Fund (KMVAX),Mid-Cap Blend,6,25.08,0.48,1.29,0.90
Payden Equity Income Fund (PYVLX),Large Value,6,16.53,0.73,0.81,0.97
TETON Westwood Equity Fund Class A (WEECX),Large Value,6,17.90,0.67,0.93,0.93
VanEck Emerging Markets Fund Class C (EMRCX),Diversified Emerging Mkts,8,20.32,0.59,1.02,0.89
Vanguard European Stock Index Fund Admiral Shares (VEUSX),Europe Stock,7,19.66,0.61,1.03,0.99
JPMorgan Equity Premium Income Fund Class I (JEPIX),Derivative Income,6,,,,
Lord Abbett International Opportunities Fund Class A (LAIEX),Foreign Small/Mid Blend,7,19.84,0.60,0.96,0.98
PGIM Global Real Estate Fund- Class Z (PURZX),Global Real Estate,7,17.86,0.67,0.87,0.97
Voya Small Company Fund Class I (VYSAX),Small Blend,7,25.04,0.48,1.00,0.97
Victory Sophus Emerging Markets Fund Class Y (RSENX),Diversified Emerging Mkts,8,20.00,0.60,1.06,0.96
Wells Fargo Target 2040 Fund - Class A (STFRX),Target-Date 2040,6,14.61,0.82,0.95,0.99
Artisan Mid Cap Value Fund Advisor Class (APDQX),Mid-Cap Value,6,25.34,0.47,1.08,0.97
Boston Partners Small Cap Value Fund II Investor Class (BPSCX),Small Value,7,27.74,0.43,1.03,0.97
PIMCO RealPath Blend 2025 Fund Class A (PPZAX),Target-Date 2025,5,10.23,1.17,0.94,0.97
Rydex Dow Jones Industrial Average® Fund Class A (RYDAX),Large Value,6,18.92,0.63,1.01,1.00
Rydex Dow Jones Industrial Average® Fund Class H (RYDHX),Large Value,6,18.93,0.63,1.01,1.00
Gabelli Equity Income Fund Class C (GCCEX),Large Blend,6,18.99,0.63,0.98,0.91
Artisan International Fund Investor Class (ARTIX),Foreign Large Growth,7,15.98,0.75,0.89,0.89
BNY Mellon Equity Income Fund Class C (DQICX),Large Value,6,19.21,0.62,1.02,0.95
Delaware Healthcare Fund Class A (DLHAX),Health,7,17.62,0.68,1.00,0.83
Goldman Sachs Large Cap Value Fund Class C (GSVCX),Large Value,6,18.46,0.65,0.92,0.99
USAA Emerging Markets Fund (USEMX),Diversified Emerging Mkts,8,20.03,0.60,1.06,0.96
SEI Asset Allocation Trust Aggressive Strategy Fund Class F (SSGAX),World Allocation,5,14.70,0.81,0.76,0.91
JPMorgan Europe Dynamic Fund Class I (JFESX),Europe Stock,7,21.22,0.56,1.10,0.95
DWS RREEF Global Real Estate Securities Fund - Class A (RRGAX),Global Real Estate,7,18.12,0.66,0.86,0.72
ICON Utilities and Income Fund Institutional Class (ICTUX),Utilities,5,16.20,0.74,0.94,0.85
MFS Blended Research Small Cap Equity Fund Class C (BRSHX),Small Blend,7,24.50,0.49,0.97,0.96
USAA Emerging Markets Fund Class A (UAEMX),Diversified Emerging Mkts,8,20.01,0.59,1.06,0.96
Virtus NFJ Large-Cap Value Fund Class A (PNBAX),Large Value,6,19.29,0.62,0.95,0.96
Vanguard LifeStrategy Moderate Growth Fund Investor Shares (VSMGX),Allocation--50% to 70% Equity,5,10.98,1.08,0.35,0.01
Ariel Focus Fund Institutional Class (AFOYX),Mid-Cap Value,6,25.69,0.46,1.25,0.95
Navigator Equity Hedged Fund Class C (NAVCX),Long-Short Equity,4,13.33,0.89,0.69,0.85
Nuveen Large Cap Value Fund Class A (NQCAX),Large Value,6,23.67,0.50,1.16,0.96
Transamerica Mid Cap Value Opportunities A (MCVAX),Mid-Cap Value,6,23.81,0.50,1.02,0.98
Becker Value Equity Fund Retail Class (BVEFX),Large Value,6,19.26,0.62,0.94,0.95
BlackRock International Dividend Fund Investor A Shares (BREAX),Foreign Large Blend,6,14.63,0.81,0.80,0.86
Brown Advisory Emerging Markets Select Fund Investor Shares (BIAQX),Diversified Emerging Mkts,8,18.70,0.64,,
FS Chiron Capital Allocation Fund Class C Shares (CCPCX),World Allocation,5,13.55,0.88,0.66,0.73
JPMorgan Small Cap Value Fund Class C (OSVCX),Small Value,7,26.14,0.45,0.99,0.99
Knights of Columbus International Equity Fund I Share (KCIIX),Foreign Large Blend,6,17.88,0.66,,
MFS Blended Research Value Equity Fund Class I (BRUHX),Large Value,6,20.55,0.58,1.03,0.99
MFS Total Return Fund Class A (MSFRX),Allocation--50% to 70% Equity,5,11.56,1.03,0.61,0.95
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Portfolio Class A (MMKBX)",Diversified Emerging Mkts,8,19.30,0.62,1.01,0.95
Pax International Sustainable Economy Fund Investor Class (PXINX),Foreign Large Blend,6,16.79,0.71,0.97,0.97
USAA Capital Growth Fund (USCGX),World Large-Stock Value,6,18.74,0.63,1.05,0.98
Pioneer International Equity Fund Class Y (INVYX),Foreign Large Blend,6,16.31,0.73,0.93,0.94
Coho Relative Value Equity Fund (COHOX),Large Value,6,16.39,0.72,0.79,0.89
Nuveen Real Estate Securities Fund Class C (FRLCX),Real Estate,8,18.12,0.65,0.88,0.97
American Century Investments One Choice 2040 Portfolio C Class (ARNOX),Target-Date 2040,6,12.83,0.92,0.88,0.99
DWS RREEF Real Assets Fund - Class C (AAAPX),World Allocation,5,13.57,0.87,0.69,0.84
EuroPac International Value Fund Class I (EPVIX),Foreign Large Value,6,18.77,0.63,0.72,0.57
Hennessy Japan Fund Institutional Class (HJPIX),Japan Stock,6,14.24,0.83,,
Janus Henderson Emerging Markets Fund Class I (HEMIX),Diversified Emerging Mkts,8,19.85,0.60,1.02,0.91
Scharf Multi-Asset Opportunity Fund Institutional Class (LOGOX),Allocation--50% to 70% Equity,5,11.57,1.02,0.60,0.91
Vanguard Emerging Markets Stock Index Fund Admiral Shares (VEMAX),Diversified Emerging Mkts,8,18.21,0.66,1.00,0.99
American Century Mid Cap Value Fund Investor Class (ACMVX),Mid-Cap Value,6,20.37,0.58,0.87,0.97
Fidelity Freedom® Index 2025 Fund - Institutional Premium Class (FFEDX),Target-Date 2025,5,10.48,1.13,0.55,0.95
Guggenheim SMid Cap Value Fund Class P (SEVPX),Mid-Cap Value,6,23.33,0.51,0.91,0.97
Rydex Banking Fund Class Investor (RYKIX),Financial,7,30.82,0.38,1.33,0.64
Virtus NFJ Mid-Cap Value Fund Institutional Class (PRNIX),Mid-Cap Value,6,21.36,0.55,0.90,0.94
William Blair Small Cap Value Fund Class N (WBVNX),Small Blend,7,26.19,0.45,0.98,0.98
American Funds International Growth and Income Fund Class A (IGAAX),Foreign Large Blend,6,18.65,0.63,1.09,0.98
Columbia Flexible Capital Income Fund Class C (CFIGX),Allocation--50% to 70% Equity,5,15.57,0.76,-0.08,0.00
Cullen Value Fund Class I (CVLVX),Large Value,6,18.34,0.65,0.94,0.90
Greenspring Fund (GRSPX),Allocation--70% to 85% Equity,5,18.13,0.65,0.87,0.95
Aberdeen Global Infrastructure Fund Institutional Class (AIFRX),Infrastructure,7,18.75,0.63,0.98,0.84
American Funds International Growth and Income Fund Class F-1 (IGIFX),Foreign Large Blend,6,18.64,0.63,1.09,0.98
FS Chiron SMid Opportunities Fund Class C Shares (CSCMX),World Small/Mid Stock,7,23.55,0.38,,
MainStay CBRE Global Infrastructure Fund Class I (VCRIX),Infrastructure,7,15.08,0.78,0.73,0.73
Poplar Forest Partners Fund Class A (PFPFX),Large Value,6,25.86,0.46,1.26,0.80
AQR Diversified Arbitrage Fund Class I (ADAIX),Relative Value Arbitrage,4,9.15,1.29,-12.52,0.21
First Eagle U.S. Value Fund Class I (FEVIX),Allocation--70% to 85% Equity,5,16.67,0.71,0.86,0.91
Loomis Sayles Small Capital Value Fund Institutional Class (LSSCX),Small Blend,7,24.38,0.48,0.91,0.96
Wasatch-Hoisington U.S. Treasury Fund (WHOSX),Long Government,5,16.59,0.71,3.88,0.66
Wells Fargo Emerging Markets Equity Fund - Class A (EMGAX),Diversified Emerging Mkts,8,20.18,0.59,1.06,0.94
BlackRock Global Dividend Portfolio Insitutional Shares (BIBDX),World Large-Stock Value,6,15.71,0.75,0.86,0.93
Fidelity Asset Manager® 50% (FASMX),Allocation--50% to 70% Equity,5,10.39,1.14,0.54,0.93
Rondure Overseas Fund Investor Class (ROSOX),Foreign Large Growth,7,13.56,0.87,0.72,0.81
Thrivent Moderate Allocation Fund Class A (THMAX),Allocation--50% to 70% Equity,5,10.99,1.07,0.58,0.96
TIAA-CREF International Equity Fund Institutional Class (TIIEX),Foreign Large Blend,6,19.17,0.62,1.09,0.93
USAA Global Managed Volatility Fund Fund Shares (UGMVX),World Large-Stock Blend,6,15.77,0.75,0.89,0.98
American Funds American Mutual Fund® Class C (AMFCX),Large Value,6,14.60,0.81,0.77,0.94
Invesco European Small Company Fund Class C (ESMCX),Europe Stock,7,18.52,0.64,0.91,0.86
Invesco International Core Equity Fund Class C (IBVCX),Foreign Large Blend,6,19.83,0.59,1.13,0.94
Aberdeen Emerging Markets Sustainable Leaders Fund Class C (GIGCX),Diversified Emerging Mkts,8,14.79,0.80,0.73,0.83
Artisan Mid Cap Value Fund Investor Class (ARTQX),Mid-Cap Value,6,25.32,0.47,1.08,0.97
"BlackRock Global Allocation Fund, Inc. Investor C Shares (MCLOX)",World Allocation,5,11.86,0.99,0.64,0.95
Fidelity Freedom® Index 2025 Fund - Investor Class (FQIFX),Target-Date 2025,5,10.50,1.12,0.56,0.95
PIMCO RAE PLUS Fund Class I-3 (PXTNX),Large Value,6,23.09,0.51,1.12,0.94
Undiscovered Managers Behavioral Value Fund Class A (UBVAX),Small Value,7,31.33,0.38,1.17,0.97
Hartford Small Cap Value Fund Class A (HSMAX),Small Value,7,27.95,0.42,1.05,0.97
RiverNorth Core Opportunity Fund Class R (RNCOX),Allocation--50% to 70% Equity,5,17.49,0.67,0.85,0.80
American Funds Developing World Growth and Income Fund Class F-1 (DWGFX),Diversified Emerging Mkts,8,18.81,0.63,0.98,0.94
Guggenheim RBP® Large-Cap Defensive Fund Class C (TVDCX),Large Blend,6,18.45,0.64,,
GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),Global Real Estate,7,18.15,0.65,0.90,0.99
Hotchkis & Wiley Small Cap Diversified Value Fund Class A (HWVAX),Small Value,7,30.02,0.39,1.13,0.98
Invesco Comstock Fund Class C (ACSYX),Large Value,6,23.78,0.49,1.17,0.97
Invesco Equity and Income Fund Class A (ACEIX),Allocation--50% to 70% Equity,5,15.93,0.74,0.79,0.97
MainStay Growth Allocation Fund Class C (MGDCX),Allocation--70% to 85% Equity,5,15.64,0.75,0.83,0.97
Principal LifeTime Hybrid 2025 Fund Institutional Class (PHTQX),Target-Date 2025,5,11.03,1.07,1.03,0.99
Putnam International Equity Fund Class A (POVSX),Foreign Large Blend,6,16.55,0.71,0.95,0.96
Royce Total Return Fund Service Class (RYTFX),Small Blend,7,22.67,0.52,0.84,0.95
American Century Investments One Choice 2035 Portfolio A Class (ARYAX),Target-Date 2035,6,11.78,1.00,0.90,0.99
AMG River Road Small-Mid Cap Value Fund Class I (ARIMX),Small Blend,7,23.39,0.50,0.91,0.97
Hotchkis & Wiley Large Cap Value Fund Class C (HWLCX),Large Value,6,27.55,0.43,1.33,0.93
Matrix Advisors Dividend Fund (MADFX),Large Value,6,17.16,0.68,0.87,0.88
Touchstone Small Cap Class C (TSFCX),Small Blend,7,21.58,0.54,0.83,0.90
Vanguard High Dividend Yield Index Fund Admiral (VHYAX),Large Value,6,17.97,0.65,1.00,1.00
BNY Mellon Balanced Opportunity Fund - Class A (DBOAX),Allocation--50% to 70% Equity,5,13.29,0.88,0.71,0.96
Goldman Sachs Real Estate Securities Fund Class C (GRECX),Real Estate,8,19.02,0.62,0.97,0.99
Goldman Sachs Small Cap Value Insights Fund Class A (GSATX),Small Value,7,25.87,0.45,0.97,0.98
Harbor International Small Cap Fund Institutional Class (HAISX),Foreign Small/Mid Value,7,20.65,0.57,1.03,0.94
JPMorgan Equity Premium Income Fund Class A (JEPAX),Derivative Income,6,,,,
MFS Utilities Fund Class I (MMUIX),Utilities,5,15.94,0.74,0.64,0.55
Neuberger Berman Global Real Estate Fund Class C (NGRCX),Global Real Estate,7,16.15,0.73,0.78,0.95
Vanguard Target Retirement 2025 Fund Investor Shares (VTTVX),Target-Date 2025,5,11.01,1.06,0.56,0.96
Voya Multi-Manager Emerging Markets Equity Fund Class A (IEMHX),Diversified Emerging Mkts,8,20.00,0.59,1.05,0.96
Transamerica Small/Mid Cap Value Fund Class A (IIVAX),Mid-Cap Value,6,24.08,0.49,0.95,0.99
BlackRock Equity Dividend Fund Investor C Shares (MCDVX),Large Value,6,18.80,0.62,0.93,0.97
Payden Equity Income Fund Adviser Class (PYVAX),Large Value,6,16.52,0.71,0.81,0.97
Principal Strategic Asset Management Balanced Portfolio Class A (SABPX),Allocation--50% to 70% Equity,5,12.08,0.97,0.62,0.96
