rank,school,type,grades,address,city,zip,county,district,year
1078,West End School,Public,"PK, KG-4",447 Greenbrook Road,North Plainfield,07060,Somerset County,North Plainfield School District,2018
1079,Leeds Avenue Elementary School,Public,"PK, KG-5",100 W  Leeds Avenue,Pleasantville,08232,Atlantic County,Pleasantville Public School District,2018
1080,Samuel T. Busansky School,Public,3-5,16 Scrapetown Road,Pemberton,08068,Burlington County,Pemberton Township School District,2018
1081,Mount Pleasant Elementary School,Public,K-5,100 Carmel Rd,Millville,08332,Cumberland County,Millville School District,2018
1082,Passaic Arts and Science Charter School,"Public, Charter, Alternative",K-12,7 St. Francis Way,Passaic,07055,Passaic County,Passaic Arts and Science Charter School,2018
1083,Charles J. Riley School 9,Public,"PK, KG-8",6 Timothy Street,Paterson,07503,Passaic County,Paterson Public School District,2018
1084,Lincoln Elementary School,Public,"PK, KG-8",1206 63rd St,North Bergen,07047,Hudson County,North Bergen School District,2018
1085,School 24,Public,"PK, KG-8",50 Nineteenth Avenue,Paterson,07513,Passaic County,Paterson Public School District,2018
1086,Bradley Beach Elementary School,Public,"PK, KG-8",515 Brinley Avenue,Bradley Beach,07720,Monmouth County,Bradley Beach School District,2018
1087,Belleville PS7,Public,"PK, KG-6",20 Passaic Ave,Belleville,07109,Essex County,Belleville Public School District,2018
1088,Public School Number One,Public,K-6,6129 Madison St,West New York,07093,Hudson County,West New York School District,2018
1089,Jersey City Community Charter School,"Public, Charter",K-8,128 Danforth Avenue,Jersey City,07305,Hudson County,Jersey City Community Charter School,2018
1090,Parsons,Public,"PK, KG-4",116 Hollywood Street,North Brunswick,08902,Middlesex County,North Brunswick Township School District,2018
1091,School No. 5,Public,K-8,168 Monroe St.,Passaic,07055,Passaic County,Passaic City School District,2018
1092,Gibbsboro Elementary School,Public,"PK, KG-8",37 Kirkwood Rd,Gibbsboro,08026,Camden County,Gibbsboro Elementary School District,2018
1093,School 27,Public,"PK, KG-5",250 Richmond Ave,Paterson,07502,Passaic County,Paterson Public School District,2018
1094,Franklin Elementary School,Public,1-8,5211 Columbia Avenue,North Bergen,07047,Hudson County,North Bergen School District,2018
1095,Gregory Elementary School,Public,K-5,201 Monmouth Avenue,Long Branch,07740,Monmouth County,LONG BRANCH PUBLIC SCHOOL District,2018
1096,Rieck Avenue Elementary School,Public,K-5,339 Rieck Avenue,Millville,08332,Cumberland County,Millville School District,2018
1097,Columbus Elementary School,Public,"PK, KG-5",1 Carteret Avenue,Carteret,07008,Middlesex County,Carteret Public School District,2018
1098,Grover Cleveland Elementary School,Public,"PK, KG-6",486 E Milton Ave,Rahway,07065,Union County,Rahway Public School District,2018
1099,Phillipsburg Elementary School,Public,3-5,525 Warren Street,Phillipsburg,08865,Warren County,Phillipsburg School District,2018
1100,Emerson Community School,Public,K-5,305 Emerson Ave,Plainfield,07062,Union County,Plainfield Public School District,2018
1101,Matthew Jago Elementary School,Public,"PK, KG-5",99 Central Avenue,Sewaren,07077,Middlesex County,Woodbridge Township School District,2018
1102,Mckinley Community School,Public,"PK, KG-8",15 Van Dyke Ave,New Brunswick,08901,Middlesex County,New Brunswick School District,2018
1103,West End Memorial Elementary School,Public,"PK, KG-5",215 Queen Street,Woodbury,08096,Gloucester County,Woodbury City Public School District,2018
1104,Principle Academy Charter School,"Public, Charter",K-6,6718 E Black Horse Pike,Egg Harbor Township,08234,Atlantic County,Principle Academy Charter School,2018
1105,Christopher Columbus School No. 15,Public,K-8,511 Third Ave,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
1106,Woodlynne Boro Public School,Public,"PK, KG-8",131 Elm Avenue,Woodlynne,08107,Camden County,Woodlynne School District,2018
1107,Stow Creek Township School,Public,"PK, KG-8",11 Gum Tree Corner Road,Bridgeton,08323,Cumberland County,Stow Creek Township School District,2018
1108,Mario Drago School No. 3,Public,"PK, KG-8",155 Van Houten Ave.,Passaic,07055,Passaic County,Passaic City School District,2018
1109,Washington Elementary School,Public,1-4,501 Washington Avenue,Roselle,07203,Union County,Roselle Public School District,2018
1110,Julia A. Barnes School,Public,"PK, KG-8",91 Astor Place,Jersey City,07304,Hudson County,Jersey City Public Schools,2018
1111,Herma S. Simmons Elementary School,Public,"PK, KG-5",300 West Chestnut Street,Clayton,08312,Gloucester County,Clayton Public School District,2018
1112,Cicely L. Tyson Community Elementary School,Public,"PK, KG-5",45 North Arlington Street,East Orange,07017,Essex County,East Orange School District,2018
1113,Whitney E. Houston Academy,Public,"PK, KG-8",215 Dodd St,East Orange,07017,Essex County,East Orange School District,2018
1114,Joseph S. Stackhouse School,Public,K-2,125a Trenton Road,Browns Mills,08015,Burlington County,Pemberton Township School District,2018
1115,John F Kennedy Elementary School,Public,1-8,1210 Eleventh St,North Bergen,07047,Hudson County,North Bergen School District,2018
1116,Thomas Jefferson School No. 1,Public,K-8,390 Van Houten Ave.,Passaic,07055,Passaic County,Passaic City School District,2018
1117,Waretown Elementary School,Public,"PK, KG-2",64 Railroad Avenue,Waretown,08758,Ocean County,Ocean Township School District,2018
1118,New Horizons Community Charter School,"Public, Charter",K-8,45  59 Hayes Street,Newark,07103,Essex County,New Horizons Community Charter School,2018
1119,Robert Morris School No. 18,Public,"PK, KG-8",860 Cross Ave,Elizabeth,07208,Union County,Elizabeth Public Schools,2018
1120,Benjamin Franklin Elementary School,Public,"PK, KG-3",7201 Irving Avenue,Pennsauken,08109,Camden County,Pennsauken Township Board of Education School District,2018
