rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
574,Alfred Zampella School,"PK, KG-8",Jersey City Public Schools,"1,093",74.6%,"$10,970",61,2017
575,Whiton Elementary School,"PK, KG-3",Branchburg Township School District,609,7.1%,"$15,143",60.9,2017
576,Environment Community Opportunity (ECO) Charter School,K-8,Environment Community Opportunity (ECO) Charter School,150,81.3%,"$15,542",60.9,2017
577,Memorial School,"PK, KG-8",Union Beach Public School District,596,33.7%,"$13,079",60.8,2017
578,Millstone Township Elementary School,3-5,Millstone Township School District,340,6.5%,"$15,600",60.6,2017
579,Van Sciver Elementary School,"PK, KG-5",Haddon Township School District,356,22.5%,"$10,796",60.5,2017
580,General Charles G. Harker School,3-5,Swedesboro-Woolwich School District,778,14.1%,"$8,057",60.5,2017
581,Gantner Avenue School,K-5,Elmwood Park School District,363,36.6%,"$7,848",60.4,2017
582,Hainesport Township School,"PK, KG-8",Hainesport Township School District,614,18.2%,"$12,400",60.4,2017
583,Manasquan Elementary School,"PK, KG-8",Manasquan School District,632,14.9%,"$16,394",60.3,2017
584,Robert Mascenik Elementary School,K-5,Woodbridge Township School District,311,17.0%,"$5,299",60.1,2017
585,Clementon Elementary School,"PK, KG-8",Clementon Elementary School District,453,44.4%,"$13,193",60,2017
586,Upper Pittsgrove School,"PK, KG-8",UPPER PITTSGROVE Township School District,348,18.1%,"$14,593",59.8,2017
587,Woodrow Wilson School #5,"PK, KG-5",Garfield Public School District,317,59.9%,"$10,577",59.8,2017
588,School #2,K-5,Clifton Public School District,415,23.6%,"$11,988",59.6,2017
589,Madison Park Elementary School,K-5,Old Bridge Township School District,261,41.0%,"$16,024",59.6,2017
590,School #3,K-5,Clifton Public School District,302,58.9%,"$11,857",59.6,2017
591,Clara Barton Elementary School,K-5,Cherry Hill School District,486,28.8%,"$7,759",59.2,2017
592,Wayside Elementary School,"PK, KG-4",Township of Ocean School District,667,31.5%,"$9,175",59.1,2017
593,Middle Road School,1-4,Hazlet Township Public School District,263,14.1%,"$8,074",58.9,2017
594,Eleanor Van Gelder,3-6,Edgewater School District,425,16.7%,"$10,452",58.9,2017
595,Alexander Hamilton Academy,K-8,Paterson Public School District,563,78.0%,"$8,344",58.9,2017
596,Clara Barton Elementary,K-2,Bordentown Regional School District,245,0.0%,"$9,856",58.9,2017
597,Lester D. Wilson Elementary School,"PK, KG-3",Alexandria Township School District,204,2.5%,"$13,267",58.8,2017
