county_name,median_hh_income,poverty_count,poverty_rate,st_abb,year,state_code,county_code
BURLINGTON,92471,25900,6.0,NJ,2020,034,005
CAMDEN,71718,61747,12.4,NJ,2020,034,007
CAPE MAY,75829,8546,9.6,NJ,2020,034,009
CUMBERLAND,60352,18073,13.1,NJ,2020,034,011
ESSEX,65528,111465,14.3,NJ,2020,034,013
GLOUCESTER,87220,20136,7.0,NJ,2020,034,015
HUDSON,77323,86854,13.1,NJ,2020,034,017
HUNTERDON,113611,4932,4.1,NJ,2020,034,019
MERCER,87581,33028,9.5,NJ,2020,034,021
MIDDLESEX,95610,59132,7.4,NJ,2020,034,023
MONMOUTH,104219,35894,5.9,NJ,2020,034,025
MORRIS,114103,22653,4.7,NJ,2020,034,027
OCEAN,78181,63592,10.5,NJ,2020,034,029
PASSAIC,64422,83071,16.9,NJ,2020,034,031
SALEM,65563,7466,12.2,NJ,2020,034,033
SOMERSET,115573,15563,4.8,NJ,2020,034,035
SUSSEX,92739,7486,5.4,NJ,2020,034,037
UNION,83189,50517,9.2,NJ,2020,034,039
WARREN,80412,7539,7.3,NJ,2020,034,041
ATLANTIC,65693,40786,15.1,NJ,2021,034,001
BERGEN,104777,70847,7.5,NJ,2021,034,003
BURLINGTON,94043,34379,7.6,NJ,2021,034,005
CAMDEN,77675,62053,12.0,NJ,2021,034,007
CAPE MAY,74896,8437,9.0,NJ,2021,034,009
CUMBERLAND,58030,20814,14.4,NJ,2021,034,011
ESSEX,66191,126387,15.1,NJ,2021,034,013
GLOUCESTER,93783,23243,7.7,NJ,2021,034,015
HUDSON,79159,109996,15.9,NJ,2021,034,017
HUNTERDON,122095,5115,4.1,NJ,2021,034,019
MERCER,86499,38024,10.4,NJ,2021,034,021
MIDDLESEX,98992,67146,8.0,NJ,2021,034,023
MONMOUTH,107500,47491,7.4,NJ,2021,034,025
MORRIS,122525,28395,5.6,NJ,2021,034,027
OCEAN,75732,73139,11.4,NJ,2021,034,029
PASSAIC,74016,71951,14.1,NJ,2021,034,031
SALEM,69844,7684,12.0,NJ,2021,034,033
SOMERSET,123708,18705,5.5,NJ,2021,034,035
SUSSEX,99695,8765,6.1,NJ,2021,034,037
UNION,85926,52354,9.3,NJ,2021,034,039
WARREN,82900,10140,9.3,NJ,2021,034,041
