county_name,year,num_of_bedrooms,house_value_index,est_pop,median_hh_income,poverty_count,poverty_rate,st_abb,state_code,county_code,tax_rate,apr_30,points_30,apr_15,points_15
CAPE MAY,2012,1,152888.3196746983,96267,55175,10301,10.9,NJ,034,009,1.05225,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
CAPE MAY,2013,1,161885.75641036287,95540,56520,10159,10.8,NJ,034,009,1.0815625,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
CAPE MAY,2014,1,158608.34520723802,94961,55409,12080,13.0,NJ,034,009,1.1334374999999999,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
CAPE MAY,2015,1,161146.953547946,94330,55632,9684,10.5,NJ,034,009,1.1860624999999998,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
CAPE MAY,2016,1,164156.15336630485,93825,59181,10964,11.9,NJ,034,009,1.2228124999999999,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
CAPE MAY,2017,1,167221.9544905158,93283,64450,9486,10.4,NJ,034,009,1.2760624999999999,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
CAPE MAY,2018,1,171966.77044897727,92604,62175,9325,10.3,NJ,034,009,1.2981874999999996,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
CAPE MAY,2019,1,178810.6251865494,92247,66565,8853,9.8,NJ,034,009,1.3301874999999999,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
CAPE MAY,2020,1,200718.08193642358,91546,75829,8546,9.6,NJ,034,009,1.3574999999999997,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
CAPE MAY,2021,1,235754.27980319108,95661,74896,8437,9.0,NJ,034,009,1.3912499999999999,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
CUMBERLAND,2010,1,48903.91542155983,156667,49964,24653,17.0,NJ,034,011,3.2648571428571427,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
CUMBERLAND,2011,1,47950.05840030304,157028,49465,24300,16.7,NJ,034,011,3.0509285714285714,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
CUMBERLAND,2012,1,48561.95827165883,156862,46491,27144,18.7,NJ,034,011,2.9803571428571423,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
CUMBERLAND,2013,1,47502.88178376481,155912,45850,29231,20.1,NJ,034,011,2.9205714285714293,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
CUMBERLAND,2014,1,47973.09066680141,155887,45438,28287,19.5,NJ,034,011,2.983071428571429,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
CUMBERLAND,2015,1,50943.69636539004,154580,50259,24740,17.2,NJ,034,011,2.907714285714286,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
CUMBERLAND,2016,1,52896.40088557045,153003,48867,26321,18.4,NJ,034,011,2.9474285714285715,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
CUMBERLAND,2017,1,55826.482406346164,151147,51786,26129,18.4,NJ,034,011,2.9807142857142854,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
CUMBERLAND,2018,1,58180.682715909345,150274,51790,21430,15.2,NJ,034,011,3.0124999999999997,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
CUMBERLAND,2019,1,63495.43431356278,148995,54179,19261,13.8,NJ,034,011,3.0873571428571434,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
CUMBERLAND,2020,1,79057.63687564213,147008,60352,18073,13.1,NJ,034,011,3.189285714285714,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
CUMBERLAND,2021,1,99747.25544688669,153627,58030,20814,14.4,NJ,034,011,3.2339285714285713,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
ESSEX,2010,1,162413.0878436726,784017,52288,125503,16.4,NJ,034,013,3.127,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
ESSEX,2011,1,140604.307726962,785576,51021,132017,17.2,NJ,034,013,2.6304545454545454,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
ESSEX,2012,1,122963.5266950316,785092,51019,132434,17.2,NJ,034,013,2.783272727272727,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
ESSEX,2013,1,124312.27924194404,786685,53358,136161,17.7,NJ,034,013,2.913727272727273,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
ESSEX,2014,1,130238.73212375346,788796,54603,130059,16.7,NJ,034,013,3.1255000000000006,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
ESSEX,2015,1,134426.57739557966,790546,52206,131125,16.8,NJ,034,013,3.203454545454545,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
ESSEX,2016,1,143309.31382479222,793073,54879,126492,16.3,NJ,034,013,3.2816363636363635,3.6540384615384616,0.5307692307692308,2.930769230769231,0.49230769230769234
ESSEX,2017,1,154289.9951135711,797222,60284,123806,15.7,NJ,034,013,3.254227272727273,3.9898076923076924,0.49807692307692303,3.2725,0.49038461538461536
ESSEX,2018,1,168181.46393598334,800530,62875,116246,14.9,NJ,034,013,3.2971363636363646,4.544615384615384,0.4846153846153846,4.000192307692307,0.45000000000000007
ESSEX,2019,1,186122.21946657138,802162,64522,107745,13.8,NJ,034,013,3.279045454545454,3.935769230769231,0.5211538461538462,3.391730769230769,0.475
ESSEX,2020,1,211125.05815968328,800501,65528,111465,14.3,NJ,034,013,3.280272727272728,3.111698113207547,0.7339622641509433,2.6049056603773586,0.6924528301886792
ESSEX,2021,1,231721.38123231553,854917,66191,126387,15.1,NJ,034,013,3.3430000000000004,2.957692307692308,0.675,2.271923076923077,0.6423076923076922
GLOUCESTER,2010,1,107608.61204092152,289158,70012,19449,6.8,NJ,034,015,4.344708333333334,4.689807692307692,0.7173076923076922,4.095576923076923,0.6673076923076923
GLOUCESTER,2011,1,98565.212639146,289703,70618,21035,7.4,NJ,034,015,3.9458750000000005,4.447884615384615,0.7173076923076922,3.6842307692307688,0.7096153846153845
GLOUCESTER,2012,1,90876.27796401997,289839,72248,24404,8.6,NJ,034,015,3.575291666666665,3.6574999999999998,0.7173076923076922,2.934423076923077,0.6846153846153846
GLOUCESTER,2013,1,90579.24940557336,289935,71137,26775,9.4,NJ,034,015,3.1124999999999994,3.9755769230769227,0.7326923076923078,3.100769230769231,0.7
GLOUCESTER,2014,1,91436.35121393175,290742,78983,23626,8.2,NJ,034,015,3.2424999999999997,4.168867924528302,0.5924528301886792,3.2860377358490567,0.5716981132075472
GLOUCESTER,2015,1,90373.90874859091,291022,76780,22086,7.7,NJ,034,015,3.4057500000000007,3.8505769230769227,0.6153846153846154,3.0875000000000004,0.5769230769230769
