"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G34000100111003","32","6","340010111003"
"G34000100112011","41","8","340010112011"
"G34000100112012","56","9","340010112012"
"G34000100112021","38","7","340010112021"
"G34000100112022","76","10","340010112022"
"G34000100112023","69","10","340010112023"
"G34000100112024","66","10","340010112024"
"G34000100113001","59","9","340010113001"
"G34000100113002","61","10","340010113002"
"G34000100113003","49","9","340010113003"
"G34000100114011","37","7","340010114011"
"G34000100114012","50","9","340010114012"
"G34000100114013","52","9","340010114013"
"G34000100114031","55","9","340010114031"
"G34000100114032","87","10","340010114032"
"G34000100114033","39","7","340010114033"
"G34000100114041","33","6","340010114041"
"G34000100114042","50","9","340010114042"
"G34000100114043","49","9","340010114043"
"G34000100114044","77","10","340010114044"
"G34000100115001","40","8","340010115001"
"G34000100115002","34","7","340010115002"
"G34000100115003","68","10","340010115003"
"G34000100116001","71","10","340010116001"
"G34000100116002","36","7","340010116002"
"G34000100116003","35","7","340010116003"
"G34000100117021","38","7","340010117021"
"G34000100117022","87","10","340010117022"
"G34000100117031","53","9","340010117031"
"G34000100117032","53","9","340010117032"
"G34000100117033","59","9","340010117033"
"G34000100117041","78","10","340010117041"
"G34000100117042","59","9","340010117042"
"G34000100118031","63","10","340010118031"
"G34000100118032","86","10","340010118032"
"G34000100118033","30","6","340010118033"
"G34000100118041","51","9","340010118041"
"G34000100118042","39","7","340010118042"
"G34000100118043","36","7","340010118043"
"G34000100118051","37","7","340010118051"
"G34000100118061","31","6","340010118061"
"G34000100118062","32","6","340010118062"
"G34000100118063","35","7","340010118063"
"G34000100118071","15","3","340010118071"
"G34000100118072","40","8","340010118072"
"G34000100118073","28","5","340010118073"
"G34000100118081","45","8","340010118081"
"G34000100118082","59","9","340010118082"
"G34000100119011","83","10","340010119011"
"G34000100119012","71","10","340010119012"
"G34000100119021","69","10","340010119021"
"G34000100119022","66","10","340010119022"
"G34000100120001","83","10","340010120001"
"G34000100120002","68","10","340010120002"
"G34000100121001","74","10","340010121001"
"G34000100121002","79","10","340010121002"
"G34000100122001","83","10","340010122001"
"G34000100122002","72","10","340010122002"
"G34000100122003","83","10","340010122003"
"G34000100123021","29","6","340010123021"
"G34000100123022","56","9","340010123022"
"G34000100124011","57","9","340010124011"
"G34000100124012","41","8","340010124012"
"G34000100124021","40","8","340010124021"
"G34000100124022","44","8","340010124022"
"G34000100125011","30","6","340010125011"
"G34000100125012","33","6","340010125012"
"G34000100125021","38","7","340010125021"
"G34000100125022","27","5","340010125022"
"G34000100126021","22","4","340010126021"
"G34000100127011","47","8","340010127011"
"G34000100127012","48","9","340010127012"
"G34000100127013","52","9","340010127013"
"G34000100127021","48","9","340010127021"
"G34000100128011","59","9","340010128011"
"G34000100128012","47","8","340010128012"
"G34000100128021","38","7","340010128021"
"G34000100128022","50","9","340010128022"
"G34000100130001","13","2","340010130001"
"G34000100130002","14","3","340010130002"
"G34000100130003","22","4","340010130003"
"G34000100130004","14","3","340010130004"
"G34000100131011","6","1","340010131011"
"G34000100131021","14","3","340010131021"
"G34000100131022","34","7","340010131022"
"G34000100131023","29","6","340010131023"
"G34000100132011","32","6","340010132011"
"G34000100132012","44","8","340010132012"
"G34000100132013","34","7","340010132013"
"G34000100132021","36","7","340010132021"
"G34000100132022","57","9","340010132022"
"G34000100133011","54","9","340010133011"
"G34000100133012","22","4","340010133012"
"G34000100133013","31","6","340010133013"
"G34000100133021","42","8","340010133021"
"G34000100133022","40","8","340010133022"
"G34000100133023","46","8","340010133023"
"G34000100135001","15","3","340010135001"
"G34000100135002","5","1","340010135002"
"G34000100135003","40","8","340010135003"
"G34000109834001","GQ-PH","GQ-PH","340019834001"
"G34000109900000","PH","PH","340019900000"
"G34000300010011","8","1","340030010011"
"G34000300010012","5","1","340030010012"
"G34000300010013","8","1","340030010013"
"G34000300010021","2","1","340030010021"
"G34000300010022","9","2","340030010022"
"G34000300021001","1","1","340030021001"
"G34000300021002","1","1","340030021002"
"G34000300022001","17","3","340030022001"
"G34000300022002","10","2","340030022002"
"G34000300022003","19","4","340030022003"
"G34000300022004","16","3","340030022004"
"G34000300023001","12","2","340030023001"
"G34000300023002","5","1","340030023002"
"G34000300023003","10","2","340030023003"
"G34000300031001","23","4","340030031001"
"G34000300031002","25","5","340030031002"
