rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
757,Neeta School,3-8,Medford Lakes School District,361,2.5%,"$6,879",46.9,2018
758,School #14,"PK, KG-5",Clifton Public School District,408,41.9%,"$13,815",46.9,2018
759,Gloucester Township Elementary School,K-5,Gloucester Township Public Schools,247,40.5%,"$12,587",46.9,2018
760,School #3,K-5,Clifton Public School District,294,53.4%,"$11,857",46.9,2018
761,Belleville PS9,K-6,Belleville Public School District,125,74.4%,,46.7,2018
762,Franklin Elementary School,K-6,Bloomfield Township School District,361,37.7%,"$7,165",46.7,2018
763,Schuyler Elementary School,"PK, KG-6",Kearny,454,53.7%,"$6,903",46.7,2018
764,Hoover Elementary School,"PK, KG-5",Bergenfield Borough School District,237,58.2%,"$12,367",46.5,2018
765,Highlands Elementary School,"PK, KG-6",Highlands Borough School District,200,52.0%,"$19,302",46.4,2018
766,Ocean Avenue Elementary School,"PK, KG-5",Middletown Township Public School District,298,37.6%,"$8,747",46.4,2018
767,Union County TEAMS Charter School,K-12,Union County TEAMS Charter School-High School/College LA,387,70.5%,"$9,143",46.3,2018
768,New Hanover Township School,"PK, KG-8",New Hanover Township,187,44.9%,"$20,216",46.1,2018
769,Ben Franklin Elementary,"PK, KG-3",Lawrence Township Public School District,391,13.6%,"$15,316",46.1,2018
770,Chessie Dentley Roberts Academy School No. 30,"PK, KG-8",Elizabeth Public Schools,788,83.9%,"$8,093",46.1,2018
771,Sayen Elementary School,K-5,Hamilton Township Public School District,273,15.8%,"$9,728",46,2018
772,Swift-Slaybaugh Complex,"PK, KG-3",Egg Harbor Township School District,877,27.1%,"$12,373",45.9,2018
773,Lucy N. Holman Elementary School,"PK, KG-5",Jackson Township School District,566,36.6%,"$8,913",45.9,2018
774,Fountain Woods Elementary School,2-5,Burlington Township School District,846,28.7%,"$10,824",45.8,2018
775,Leonardo Elementary School,K-5,Middletown Township Public School District,251,15.1%,"$9,254",45.8,2018
776,Fort Dix Elementary School,"PK, KG-5",Pemberton Township School District,443,19.0%,"$14,204",45.7,2018
777,Winslow Township Elementary School Four,"PK, KG-3",Winslow Township School District,503,28.8%,"$9,518",45.6,2018
778,Carlstadt Public School,"PK, KG-8",Carlstadt Public School District,534,28.8%,"$13,954",45.6,2018
779,TEAM Academy Charter School,K-12,TEAM Academy Charter School,"4,059",88.3%,"$11,261",45.5,2018
780,Helen I. Smith School,K-6,Saddle Brook School District,309,19.7%,"$14,876",45.4,2018
781,Olivet Elementary School,2-4,Pittsgrove Township School District,473,35.3%,"$8,066",45.3,2018
782,Hainesport Township School,"PK, KG-8",Hainesport Township School District,594,14.8%,"$12,400",45.1,2018
783,Warren E. Sooy Junior Elementary School,2-5,Hammonton School District,884,50.8%,"$10,636",45.1,2018
784,Robert Gordon Elementary School,"PK, KG-5",Roselle Park Public School District,273,41.8%,"$7,199",45.1,2018
785,Nixon Elementary School,K-4,Roxbury Township School District,275,23.3%,"$13,933",45,2018
786,Rolling Hills Primary School,2-3,Vernon Township School District,401,19.0%,"$11,628",44.9,2018
787,Avon Elementary School,"PK, KG-4",Barrington School District,339,25.7%,"$4,908",44.8,2018
788,Wantage Elementary School,3-5,Sussex-Wantage Regional School District,341,31.4%,"$11,412",44.7,2018
789,Arthur M. Judd,"PK, KG-4",North Brunswick Township School District,857,35.9%,"$10,316",44.7,2018
790,Fleetwood Elementary School,"PK, KG-4",Mount Laurel Township School District,401,14.0%,"$7,934",44.7,2018
791,Lester D. Wilson Elementary School,"PK, KG-3",Alexandria Township School District,207,4.3%,"$13,267",44.6,2018
792,John Greenleaf Whittier Elementary School,K-4,Teaneck School District,329,44.4%,"$6,681",44.6,2018
793,Ashbrook Elementary School,"PK, KG-2",Lumberton Township Board of Education,237,25.3%,"$13,612",44.6,2018
794,Paradise Knoll Elementary School,K-5,West Milford Township Public School District,271,11.1%,"$10,908",44.5,2018
795,Foundation Academy Charter School,K-12,Foundation Academy Charter School,"1,036",80.3%,"$11,069",44.2,2018
