rank,school,type,grades,address,city,zip,county,district,year
19,Martin Luther King Elementary School,Public,K-5,285 Tingley Lane,Edison,08820,Middlesex County,Edison Township School District,2020
20,Hillside Elementary School,Public,K-5,98 Belmont Drive,Livingston,07039,Essex County,Livingston Board of Education School District,2020
21,South Mountain School,Public,"PK, KG-4",2 Southern Slope Drive,Millburn,07041,Essex County,Millburn Township School District,2020
22,Mount Pleasant Elementary School,Public,K-5,11 Broadlawn Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2020
23,Hatikvah International Academy Charter School,"Public, Charter",K-8,7 Lexington Avenue,East Brunswick,08816,Middlesex County,Hatikvah International Academy Charter School,2020
24,Hilldale School,Public,K-5,123 Konner Avenue,Pine Brook,07058,Morris County,Montville Township School District,2020
25,Harrington Park School,Public,"PK, KG-8",191 Harriot Ave,Harrington Park,07640,Bergen County,Harrington Park School District,2020
26,Village School,Public,"PK, KG-3",67 McCampbell Road,Holmdel,07733,Monmouth County,Holmdel Township School District,2020
27,Orchard Elementary School,Public,K-5,230 Demarest St,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
28,Allen W. Roberts School,Public,"PK, KG-6",80 Jones Dr,New Providence,07974,Union County,New Providence School District,2020
29,Point Road School,Public,"PK, KG-4",357 Little Silver Point Road,Little Silver,07739,Monmouth County,Little Silver Boro School District,2020
30,Washington Elementary School,Public,1-5,900 St. Marks Avenue,Westfield,07090,Union County,Westfield Public School District,2020
31,Dutch Neck Elementary School,Public,K-3,392 Village Road East,West Windsor,08550,Mercer County,West Windsor-Plainsboro Regional School District,2020
32,Haworth Public School,Public,K-8,205 Valley Rd,Haworth,07641,Bergen County,Haworth Public School District,2020
33,Tamaques Elementary School,Public,1-5,641 Willow Grove Road,Westfield,07090,Union County,Westfield Public School District,2020
34,Deane-Porter Elementary School,Public,"PK, KG-3",50 Blackpoint Road,Rumson,07760,Monmouth County,Rumson Borough School District,2020
35,Mendham Township Elementary School,Public,"PK, KG-4",18 West Main Street,Brookside,07926,Morris County,Mendham Township School District,2020
36,Hoboken Dual Language Charter School,"Public, Charter",K-8,123 Jefferson Street,Hoboken,07030,Hudson County,Hoboken Dual Language Charter School,2020
37,West Cape May Elementary School,Public,"PK, KG-6",301 Moore Street,West Cape May,08204,Cape May County,West Cape May School District,2020
38,Hillside Elementary School,Public,"PK, KG-4",340 Homans Avenue,Closter,07624,Bergen County,Closter Public School District,2020
39,Valley View School,Public,"PK, KG-5",30 Montgomery Avenue,Montville,07045,Morris County,Montville Township School District,2020
40,Brayton Elementary School,Public,1-5,89 Tulip Street,Summit,07901,Union County,Summit Public School District,2020
41,Hartshorn School,Public,K-4,400 Hartshorn Drive,Short Hills,07078,Essex County,Millburn Township School District,2020
42,Hamilton Primary School,Public,K-4,9 Hamilton Lane,Basking Ridge,07920,Somerset County,Bridgewater-Raritan Regional School District,2020
43,Luther Lee Emerson School,Public,2-4,15 Columbus Road,Demarest,07627,Bergen County,Demarest School District,2020
44,Henry B. Milnes Elementary School,Public,K-4,8-01 Phillip St,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2020
45,Northvail Elementary School,Public,K-5,10 Eileen Court,Parsippany,07054,Morris County,Parsippany-Troy Hills Township School District,2020
46,Franklin Elementary School,Public,1-5,136 Blackburn Road,Summit,07901,Union County,Summit Public School District,2020
47,Franklin Elementary School,Public,1-5,700 Prospect Street,Westfield,07090,Union County,Westfield Public School District,2020
48,Monmouth Junction Elementary School,Public,"PK, KG-5",630 Ridge Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2020
49,School No. 1,Public,K-4,250 Hoym Street,Fort Lee,07024,Bergen County,Fort Lee School District,2020
50,Merritt Memorial,Public,1-5,1 Dogwood Lane,Cresskill,07626,Bergen County,Cresskill Public School District,2020
51,Richard Byrd,Public,K-5,640 Doremus Ave,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
52,Ralph S Maugham School,Public,K-5,111 Magnolia Avenue,Tenafly,07670,Bergen County,Tenafly Public School District,2020
53,Central School,Public,"PK, KG-5",Three Lincoln Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2020
54,Grandview Elementary School,Public,"PK, KG-3",35 Hamilton Dr East,N Caldwell,07006,Essex County,North Caldwell School District,2020
55,Frank Defino Central Elementary School,Public,K-5,175 Route 79 North,Marlboro,07746,Monmouth County,Marlboro Township School District,2020
56,Hilltop School,Public,"PK, KG-4",12 Hilltop Road,Mendham,07945,Morris County,Mendham Borough School District,2020
57,Elizabeth Haddon School,Public,"PK, KG-5",501 West Redman Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2020
58,Joseph F Brandt Elementary School,Public,K-5,215 Ninth Street,Hoboken,07030,Hudson County,Hoboken Public School District,2020
59,Cherry Hill School,Public,"PK, KG-6",410 Bogert Rd,River Edge,07661,Bergen County,River Edge School District,2020
60,Mt. Horeb School,Public,"PK, KG-5",80 Mount Horeb Road,Warren,07059,Somerset County,Warren Township School District,2020
61,Union Township Elementary School,Public,"PK, KG-4",149 Perryville Road,Hampton,08827,Hunterdon County,Union Township School District,2020
62,Travell Elementary School,Public,K-5,340 Bogert Ave,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
63,Cedar Hill School,Public,"PK, KG-5",46 Pine Brook Road,Towaco,07082,Morris County,Montville Township School District,2020
64,Edward H. Bryan,Public,"PK, KG-5",51 Brookside Ave,Cresskill,07626,Bergen County,Cresskill Public School District,2020
65,H W Mountz Elementary School,Public,"PK, KG-8",411 Tuttle Ave,Spring Lake,07762,Monmouth County,Spring Lake Borough,2020
66,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2020
67,Malcolm S Mackay School,Public,K-5,111 Jefferson Avenue,Tenafly,07670,Bergen County,Tenafly Public School District,2020
68,Collins Elementary School,Public,K-5,67 Martin Rd,Livingston,07039,Essex County,Livingston Board of Education School District,2020
69,Milltown Primary School,Public,"PK, KG-4",611 Milltown Road,Bridgewater,08807,Somerset County,Bridgewater-Raritan Regional School District,2020
70,Oak Tree Elementary School,Public,"PK, KG-3",226 Applegarth Road,Monroe Township,08831,Middlesex County,Monroe Township School District,2020
71,Oak Street School,Public,K-5,70 West Oak Street,Basking Ridge,07920,Somerset County,Bernards Township School District,2020
72,Navesink Elementary School,Public,K-5,151 Monmouth Avenue,Atlantic Highlands,07716,Monmouth County,Middletown Township Public School District,2020
73,J Spencer Smith School,Public,K-5,101 Downey Drive,Tenafly,07670,Bergen County,Tenafly Public School District,2020
74,Nut Swamp Elementary School,Public,K-5,925 Nut Swamp Road,Middletown,07748,Monmouth County,Middletown Township Public School District,2020
75,Riker Hill Elementary School,Public,K-5,31 Blackstone Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2020
76,Mountview Road School,Public,K-5,30 Mountview Road,Morris Plains,07950,Morris County,Hanover Township School District,2020
77,Littleton Elementary School,Public,"PK, KG-5",250 Brooklawn Drive,Morris Plains,07950,Morris County,Parsippany-Troy Hills Township School District,2020
78,J. Fithian Tatem School,Public,"PK, KG-5",One Glover Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2020
79,Torey J. Sabatini School,Public,K-5,Glenwild Circle,Madison,07940,Morris County,Madison Public School District,2020
80,Cedar Hill School,Public,K-5,100 Peachtree Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2020
81,Riverside School,Public,"PK, KG-5",58 Riverside Drive,Princeton,08540,Mercer County,Princeton Public School District,2020
82,Village Elementary School,Public,3-4,100 Main Boulevard,Skillman,08558,Somerset County,Montgomery Township School District,2020
83,Wilson Elementary School,Public,1-5,301 Linden Avenue,Westfield,07090,Union County,Westfield Public School District,2020
84,Hawes Elementary School,Public,K-5,531 Stevens Avenue,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
85,Milton Avenue School,Public,"PK, KG-3",16 Milton Avenue,Chatham,07928,Morris County,School District of the Chathams,2020
86,Maurice Hawk Elementary School,Public,"PK, KG-3",303  305 Clarksville Road,West Windsor,08550,Mercer County,West Windsor-Plainsboro Regional School District,2020
87,Mary A. Hubbard Elementary School,Public,"PK, KG-3",10 Hubbard Lane,Ramsey,07446,Bergen County,Ramsey School District,2020
88,Edith A. Bogert Elementary School,Public,3-5,391 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2020
89,Mountain Park School,Public,3-5,55 Fairfax Dr,Berkeley Hts,07922,Union County,Berkeley Heights School District,2020
90,Walter Stillman School,Public,"PK, KG-5",75 Tenafly Road,Tenafly,07670,Bergen County,Tenafly Public School District,2020
91,Asher Holmes Elementary School,Public,1-5,48 Menzel Lane,Morganville,07751,Monmouth County,Marlboro Township School District,2020
92,Washington Avenue School,Public,"PK, KG-3",102 Washington Avenue,Chatham,07928,Morris County,School District of the Chathams,2020
93,Brookside Place School,Public,K-5,700 Brookside Place,Cranford,07016,Union County,Cranford Public School District,2020
94,Southern Boulevard School,Public,"PK, KG-3",192 Southern Boulevard,Chatham,07928,Morris County,School District of the Chathams,2020
95,George C. Baker Elementary School,Public,"PK, KG-3",139 W  Maple Ave,Moorestown,08057,Burlington County,Moorestown Township Public School District,2020
96,T. Baldwin Demarest Elementary School,Public,"PK, KG-4",1 School St,Old Tappan,07675,Bergen County,Old Tappan Public School District,2020
97,Joseph D. Sharp Elementary School,Public,K-5,300 Old Orchard Rd.,Cherry Hill,08003,Camden County,Cherry Hill School District,2020
98,Mount Tabor Elementary School,Public,K-5,900 Park Rd & Route 53,Mount Tabor,07878,Morris County,Parsippany-Troy Hills Township School District,2020
99,Radburn Elementary School,Public,K-4,18-00 Radburn Rd,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2020
100,Ridgewood Avenue School,Public,3-6,235 Ridgewood Ave,Glen Ridge,07028,Essex County,Glen Ridge Public School District,2020
1,Glenwood School,Public,K-4,325 Taylor Road  South,Short Hills,07078,Essex County,Millburn Township School District,2020
2,Lincoln-Hubbard Elementary School,Public,1-5,52 Woodland Ave,Summit,07901,Union County,Summit Public School District,2020
3,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2020
4,Cornelia F. Bradford School,Public,"PK, KG-5",96 Sussex St,Jersey City,07302,Hudson County,Jersey City Public Schools,2020
5,Clara E Coleman School,Public,K-5,100 Pinelynn Rd,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
6,Wyoming School,Public,K-4,55 Myrtle Ave,Millburn,07041,Essex County,Millburn Township School District,2020
7,Mount Prospect Elementary School,Public,"PK, KG-5",111 Hansom Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2020
8,Woodbrook Elementary School,Public,K-5,15 Robin Road,Edison,08820,Middlesex County,Edison Township School District,2020
9,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2020
10,Littlebrook School,Public,"PK, KG-5",39 Magnolia Lane,Princeton,08540,Mercer County,Princeton Public School District,2020
11,Upper School,Public,3-8,143 Charlotte Pl,Englewood Cliffs,07632,Bergen County,Englewood Cliffs School District,2020
12,Sea Girt Elementary School,Public,"PK, KG-8",451 Bell Place,Sea Girt,08750,Monmouth County,Sea Girt Borough School District,2020
13,James Madison Intermediate School,Public,3-5,838 New Dover Road,Edison,08820,Middlesex County,Edison Township School District,2020
14,Deerfield School,Public,K-4,26 Troy Lane,Short Hills,07078,Essex County,Millburn Township School District,2020
15,Harrison Elementary School,Public,K-5,148 North Livingston Ave,Livingston,07039,Essex County,Livingston Board of Education School District,2020
16,Essex Fells Elementary School,Public,"PK, KG-6",102 Hawthorne Rd,Essex Fells,07021,Essex County,Essex Fells School District,2020
17,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2020
18,Central School,Public,"PK, KG-5",600 S Maple Ave,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
19,Martin Luther King Elementary School,Public,K-5,285 Tingley Lane,Edison,08820,Middlesex County,Edison Township School District,2020
20,Hillside Elementary School,Public,K-5,98 Belmont Drive,Livingston,07039,Essex County,Livingston Board of Education School District,2020
21,South Mountain School,Public,"PK, KG-4",2 Southern Slope Drive,Millburn,07041,Essex County,Millburn Township School District,2020
22,Mount Pleasant Elementary School,Public,K-5,11 Broadlawn Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2020
23,Hatikvah International Academy Charter School,"Public, Charter",K-8,7 Lexington Avenue,East Brunswick,08816,Middlesex County,Hatikvah International Academy Charter School,2020
24,Hilldale School,Public,K-5,123 Konner Avenue,Pine Brook,07058,Morris County,Montville Township School District,2020
25,Harrington Park School,Public,"PK, KG-8",191 Harriot Ave,Harrington Park,07640,Bergen County,Harrington Park School District,2020
26,Village School,Public,"PK, KG-3",67 McCampbell Road,Holmdel,07733,Monmouth County,Holmdel Township School District,2020
27,Orchard Elementary School,Public,K-5,230 Demarest St,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
28,Allen W. Roberts School,Public,"PK, KG-6",80 Jones Dr,New Providence,07974,Union County,New Providence School District,2020
29,Point Road School,Public,"PK, KG-4",357 Little Silver Point Road,Little Silver,07739,Monmouth County,Little Silver Boro School District,2020
30,Washington Elementary School,Public,1-5,900 St. Marks Avenue,Westfield,07090,Union County,Westfield Public School District,2020
31,Dutch Neck Elementary School,Public,K-3,392 Village Road East,West Windsor,08550,Mercer County,West Windsor-Plainsboro Regional School District,2020
32,Haworth Public School,Public,K-8,205 Valley Rd,Haworth,07641,Bergen County,Haworth Public School District,2020
33,Tamaques Elementary School,Public,1-5,641 Willow Grove Road,Westfield,07090,Union County,Westfield Public School District,2020
34,Deane-Porter Elementary School,Public,"PK, KG-3",50 Blackpoint Road,Rumson,07760,Monmouth County,Rumson Borough School District,2020
35,Mendham Township Elementary School,Public,"PK, KG-4",18 West Main Street,Brookside,07926,Morris County,Mendham Township School District,2020
36,Hoboken Dual Language Charter School,"Public, Charter",K-8,123 Jefferson Street,Hoboken,07030,Hudson County,Hoboken Dual Language Charter School,2020
37,West Cape May Elementary School,Public,"PK, KG-6",301 Moore Street,West Cape May,08204,Cape May County,West Cape May School District,2020
38,Hillside Elementary School,Public,"PK, KG-4",340 Homans Avenue,Closter,07624,Bergen County,Closter Public School District,2020
39,Valley View School,Public,"PK, KG-5",30 Montgomery Avenue,Montville,07045,Morris County,Montville Township School District,2020
40,Brayton Elementary School,Public,1-5,89 Tulip Street,Summit,07901,Union County,Summit Public School District,2020
41,Hartshorn School,Public,K-4,400 Hartshorn Drive,Short Hills,07078,Essex County,Millburn Township School District,2020
42,Hamilton Primary School,Public,K-4,9 Hamilton Lane,Basking Ridge,07920,Somerset County,Bridgewater-Raritan Regional School District,2020
43,Luther Lee Emerson School,Public,2-4,15 Columbus Road,Demarest,07627,Bergen County,Demarest School District,2020
44,Henry B. Milnes Elementary School,Public,K-4,8-01 Phillip St,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2020
45,Northvail Elementary School,Public,K-5,10 Eileen Court,Parsippany,07054,Morris County,Parsippany-Troy Hills Township School District,2020
46,Franklin Elementary School,Public,1-5,136 Blackburn Road,Summit,07901,Union County,Summit Public School District,2020
47,Franklin Elementary School,Public,1-5,700 Prospect Street,Westfield,07090,Union County,Westfield Public School District,2020
48,Monmouth Junction Elementary School,Public,"PK, KG-5",630 Ridge Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2020
49,School No. 1,Public,K-4,250 Hoym Street,Fort Lee,07024,Bergen County,Fort Lee School District,2020
50,Merritt Memorial,Public,1-5,1 Dogwood Lane,Cresskill,07626,Bergen County,Cresskill Public School District,2020
51,Richard Byrd,Public,K-5,640 Doremus Ave,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
52,Ralph S Maugham School,Public,K-5,111 Magnolia Avenue,Tenafly,07670,Bergen County,Tenafly Public School District,2020
53,Central School,Public,"PK, KG-5",Three Lincoln Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2020
54,Grandview Elementary School,Public,"PK, KG-3",35 Hamilton Dr East,N Caldwell,07006,Essex County,North Caldwell School District,2020
55,Frank Defino Central Elementary School,Public,K-5,175 Route 79 North,Marlboro,07746,Monmouth County,Marlboro Township School District,2020
56,Hilltop School,Public,"PK, KG-4",12 Hilltop Road,Mendham,07945,Morris County,Mendham Borough School District,2020
57,Elizabeth Haddon School,Public,"PK, KG-5",501 West Redman Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2020
58,Joseph F Brandt Elementary School,Public,K-5,215 Ninth Street,Hoboken,07030,Hudson County,Hoboken Public School District,2020
59,Cherry Hill School,Public,"PK, KG-6",410 Bogert Rd,River Edge,07661,Bergen County,River Edge School District,2020
60,Mt. Horeb School,Public,"PK, KG-5",80 Mount Horeb Road,Warren,07059,Somerset County,Warren Township School District,2020
61,Union Township Elementary School,Public,"PK, KG-4",149 Perryville Road,Hampton,08827,Hunterdon County,Union Township School District,2020
62,Travell Elementary School,Public,K-5,340 Bogert Ave,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
63,Cedar Hill School,Public,"PK, KG-5",46 Pine Brook Road,Towaco,07082,Morris County,Montville Township School District,2020
64,Edward H. Bryan,Public,"PK, KG-5",51 Brookside Ave,Cresskill,07626,Bergen County,Cresskill Public School District,2020
65,H W Mountz Elementary School,Public,"PK, KG-8",411 Tuttle Ave,Spring Lake,07762,Monmouth County,Spring Lake Borough,2020
66,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2020
67,Malcolm S Mackay School,Public,K-5,111 Jefferson Avenue,Tenafly,07670,Bergen County,Tenafly Public School District,2020
68,Collins Elementary School,Public,K-5,67 Martin Rd,Livingston,07039,Essex County,Livingston Board of Education School District,2020
69,Milltown Primary School,Public,"PK, KG-4",611 Milltown Road,Bridgewater,08807,Somerset County,Bridgewater-Raritan Regional School District,2020
70,Oak Tree Elementary School,Public,"PK, KG-3",226 Applegarth Road,Monroe Township,08831,Middlesex County,Monroe Township School District,2020
71,Oak Street School,Public,K-5,70 West Oak Street,Basking Ridge,07920,Somerset County,Bernards Township School District,2020
72,Navesink Elementary School,Public,K-5,151 Monmouth Avenue,Atlantic Highlands,07716,Monmouth County,Middletown Township Public School District,2020
73,J Spencer Smith School,Public,K-5,101 Downey Drive,Tenafly,07670,Bergen County,Tenafly Public School District,2020
74,Nut Swamp Elementary School,Public,K-5,925 Nut Swamp Road,Middletown,07748,Monmouth County,Middletown Township Public School District,2020
75,Riker Hill Elementary School,Public,K-5,31 Blackstone Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2020
76,Mountview Road School,Public,K-5,30 Mountview Road,Morris Plains,07950,Morris County,Hanover Township School District,2020
77,Littleton Elementary School,Public,"PK, KG-5",250 Brooklawn Drive,Morris Plains,07950,Morris County,Parsippany-Troy Hills Township School District,2020
78,J. Fithian Tatem School,Public,"PK, KG-5",One Glover Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2020
79,Torey J. Sabatini School,Public,K-5,Glenwild Circle,Madison,07940,Morris County,Madison Public School District,2020
80,Cedar Hill School,Public,K-5,100 Peachtree Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2020
81,Riverside School,Public,"PK, KG-5",58 Riverside Drive,Princeton,08540,Mercer County,Princeton Public School District,2020
82,Village Elementary School,Public,3-4,100 Main Boulevard,Skillman,08558,Somerset County,Montgomery Township School District,2020
83,Wilson Elementary School,Public,1-5,301 Linden Avenue,Westfield,07090,Union County,Westfield Public School District,2020
84,Hawes Elementary School,Public,K-5,531 Stevens Avenue,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
85,Milton Avenue School,Public,"PK, KG-3",16 Milton Avenue,Chatham,07928,Morris County,School District of the Chathams,2020
86,Maurice Hawk Elementary School,Public,"PK, KG-3",303  305 Clarksville Road,West Windsor,08550,Mercer County,West Windsor-Plainsboro Regional School District,2020
87,Mary A. Hubbard Elementary School,Public,"PK, KG-3",10 Hubbard Lane,Ramsey,07446,Bergen County,Ramsey School District,2020
88,Edith A. Bogert Elementary School,Public,3-5,391 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2020
89,Mountain Park School,Public,3-5,55 Fairfax Dr,Berkeley Hts,07922,Union County,Berkeley Heights School District,2020
90,Walter Stillman School,Public,"PK, KG-5",75 Tenafly Road,Tenafly,07670,Bergen County,Tenafly Public School District,2020
91,Asher Holmes Elementary School,Public,1-5,48 Menzel Lane,Morganville,07751,Monmouth County,Marlboro Township School District,2020
92,Washington Avenue School,Public,"PK, KG-3",102 Washington Avenue,Chatham,07928,Morris County,School District of the Chathams,2020
93,Brookside Place School,Public,K-5,700 Brookside Place,Cranford,07016,Union County,Cranford Public School District,2020
94,Southern Boulevard School,Public,"PK, KG-3",192 Southern Boulevard,Chatham,07928,Morris County,School District of the Chathams,2020
95,George C. Baker Elementary School,Public,"PK, KG-3",139 W  Maple Ave,Moorestown,08057,Burlington County,Moorestown Township Public School District,2020
96,T. Baldwin Demarest Elementary School,Public,"PK, KG-4",1 School St,Old Tappan,07675,Bergen County,Old Tappan Public School District,2020
97,Joseph D. Sharp Elementary School,Public,K-5,300 Old Orchard Rd.,Cherry Hill,08003,Camden County,Cherry Hill School District,2020
98,Mount Tabor Elementary School,Public,K-5,900 Park Rd & Route 53,Mount Tabor,07878,Morris County,Parsippany-Troy Hills Township School District,2020
99,Radburn Elementary School,Public,K-4,18-00 Radburn Rd,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2020
100,Ridgewood Avenue School,Public,3-6,235 Ridgewood Ave,Glen Ridge,07028,Essex County,Glen Ridge Public School District,2020
101,Bragg Elementary School,Public,3-5,250 Route 24,Chester,07930,Morris County,Chester Township School District,2020
102,Deerfield Elementary School,Public,3-8,302 Central Avenue,Mountainside,07092,Union County,Mountainside School District,2020
103,Oradell Public School,Public,"PK, KG-6",350 Propect Avenue,Oradell,07649,Bergen County,Oradell Public School District,2020
104,Willard Elementary School,Public,K-5,601 Morningside Rd,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
105,Alexander Hamilton School,Public,K-5,380 Harristown Road,Glen Rock,07452,Bergen County,Glen Rock Public School District,2020
106,Oak Tree Road Elementary School,Public,K-5,Wilus Way,Iselin,08830,Middlesex County,Woodbridge Township School District,2020
107,Angelo L. Tomaso School,Public,K-5,46 Washington Valley Road,Warren,07059,Somerset County,Warren Township School District,2020
108,Thomas P. Hughes School,Public,3-5,446 Snyder Ave,Berkeley Hts,07922,Union County,Berkeley Heights School District,2020
109,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,08873,Somerset County,Central Jersey College Prep Charter School,2020
110,Shrewsbury Borough Elementary School,Public,"PK, KG-8",20 Obre Place,Shrewsbury,07702,Monmouth County,Shrewsbury Borough School District,2020
111,Chairville Elementary School,Public,K-5,36 Chairville Road,Medford,08055,Burlington County,Medford Township School District,2020
112,Somerville Elementary School,Public,K-5,45 South Pleasant Ave,Ridgewood,07451,Bergen County,Ridgewood Public School District,2020
113,Burnet Hill Elementary School,Public,"PK, KG-5",25 Byron Place,Livingston,07039,Essex County,Livingston Board of Education School District,2020
114,Woodmont School,Public,K-5,39 Woodmont Road,Pine Brook,07058,Morris County,Montville Township School District,2020
115,Monmouth Beach Elementary School,Public,"PK, KG-8",7 Hastings Place,Monmouth Beach,07750,Monmouth County,Monmouth Beach School District,2020
116,Signal Hill School,Public,"PK, KG-5",33 Signal Hill Drive,Voorhees,08043,Camden County,Voorhees Township School District,2020
117,Salt Brook School,Public,K-6,40 Maple St,New Providence,07974,Union County,New Providence School District,2020
118,Robertsville Elementary School,Public,1-5,36 Menzel Lane,Morganville,07751,Monmouth County,Marlboro Township School District,2020
119,Viola L Sickles School,Public,"PK, KG-3",25 Willow Street,Fair Haven,07704,Monmouth County,Fair Haven School District,2020
120,Ridge Elementary School,Public,K-5,325 West Ridgewood Ave,Ridgewood,07450,Bergen County,Ridgewood Public School District,2020
121,Frank J. Dugan Elementary School,Public,K-5,48 Topanemus Road,Marlboro,07746,Monmouth County,Marlboro Township School District,2020
122,McKinley Elementary School,Public,1-5,500 First Street,Westfield,07090,Union County,Westfield Public School District,2020
123,East Brook Elementary School,Public,K-6,167 Sibbald Dr,Park Ridge,07656,Bergen County,Park Ridge School District,2020
124,Dorchester Elementary School,Public,"PK, KG-5",100 Dorchester Road,Woodcliff Lake,07677,Bergen County,Woodcliff Lake School District,2020
125,Millstone River School,Public,3-5,75 Grovers Mill Road,Plainsboro,08536,Middlesex County,West Windsor-Plainsboro Regional School District,2020
126,Wolf Hill School,Public,"PK, KG-4",29 Wolf Hill Avenue,Oceanport,07757,Monmouth County,Oceanport School District,2020
127,Alpine Elementary School,Public,K-8,500 Hillside Avenue,Alpine,07620,Bergen County,Alpine School District,2020
128,Cranberry Pines Elementary,Public,K-5,400 Fairview Road,Medford,08055,Burlington County,Medford Township School District,2020
129,Jefferson Elementary School,Public,1-5,1200 Boulevard,Westfield,07090,Union County,Westfield Public School District,2020
130,Warnsdorfer Elementary School,Public,"PK, KG-5",9 Hardenburg Lane,East Brunswick,08816,Middlesex County,East Brunswick Township School District,2020
131,Menlo Park Elementary School,Public,K-5,155 Monroe Avenue,Edison,08820,Middlesex County,Edison Township School District,2020
132,Roberge Elementary School,Public,"PK, KG-5",617 Westwood Ave,River Vale,07675,Bergen County,River Vale Public School District,2020
