rank,school,type,grades,address,city,zip,county,district,year
487,Ironia School,Public,K-5,303 Dover  Chester Road,Randolph,07869,Morris County,Randolph Township School District,2019
488,Chester M. Stephens Elementary School,Public,"PK, KG-5",99 Sunset Drive,Budd Lake,07828,Morris County,Mount Olive Township School District,2019
489,Northeast Elementary School,Public,K-5,603 Grove St,Upper Montclair,07042,Essex County,Montclair Public School District,2019
490,Thomas B. Conley Elementary School,Public,"PK, KG-6",940 Iron Bridge Rd,Asbury,08802,Hunterdon County,Bethlehem Township School District,2019
491,Woodmere,Public,2-4,65 Raleigh Court,Eatontown,07724,Monmouth County,Eatontown Public School District,2019
492,Bowne-Munro Elementary School,Public,"PK, KG-5",120 Main Street,E Brunswick,08816,Middlesex County,East Brunswick Township School District,2019
493,Lincoln Elementary School,Public,K-5,80 Prospect Ave,Dumont,07628,Bergen County,Dumont Public School District,2019
494,Parkway Elementary School,Public,"PK, KG-4",142 Ramblewood Parkway,Mount Laurel,08054,Burlington County,Mount Laurel Township School District,2019
495,Lincoln School,Public,"PK, KG-5",40 Mill Street,Pompton Lakes,07442,Passaic County,Pompton Lakes School District,2019
496,Birchwood Elementary School,Public,"PK, KG-5",1 Art Street,Dover,07801,Morris County,Rockaway Township School District,2019
497,Dogwood Hill Elementary School,Public,K-5,25 Dogwood Dr,Oakland,07436,Bergen County,Oakland Public School District,2019
498,Valley Road School,Public,"PK, KG-8",24 Valley Road,Stanhope,07874,Sussex County,Stanhope School District,2019
499,Franklin Township School,Public,"PK, KG-8",226 Quakertown Road,Quakertown,08868,Hunterdon County,Franklin Township School District,2019
500,Honiss Elementary/Middle School,Public,K-8,31 Depew St,Dumont,07628,Bergen County,Dumont Public School District,2019
501,Mannington Township Elementary School,Public,"PK, KG-8",495 Route 45,Salem,08079,Salem County,Mannington Township School District,2019
502,Langtree Elementary School,Public,"PK, KG-5",2080 Whatley Road,Hamilton,08690,Mercer County,Hamilton Township Public School District,2019
503,Southwood Elementary School,Public,K-5,64 Southwood Dr,Old Bridge,08857,Middlesex County,Old Bridge Township School District,2019
504,Yardville Elementary School,Public,"PK, KG-5",450 Yardville  Allentown Rd,Hamilton,08620,Mercer County,Hamilton Township Public School District,2019
505,Maple Road Elementary School,Public,"PK, KG-5",36 Maple Road,West Milford,07480,Passaic County,West Milford Township Public School District,2019
506,Oldmans Township School,Public,"PK, KG-8",10 Freed Road,Pedricktown,08067,Salem County,Oldmans Township School District,2019
507,Aaron Decker School,Public,"PK, KG-4",98 Decker Road,Butler,07405,Morris County,Butler Public School District,2019
508,Midstreams Elementary School,Public,K-5,500 Midstreams Rd,Brick,08724,Ocean County,Brick Township Public School District,2019
509,Frenchtown Elementary,Public,"PK, KG-8",902 Harrison St,Frenchtown,08825,Hunterdon County,Frenchtown Borough School District,2019
510,Glendora Elementary School,Public,K-5,201 Station Ave,Glendora,08029,Camden County,Gloucester Township Public Schools,2019
