rank,school,type,grades,address,city,zip,county,district,year
564,Burlington City High School,Public,7-12,100 Blue Devil Way,Burlington,08016,Burlington County,Burlington City Public School District,2018
565,Janis E. Dismus Middle School,Public,6-8,325 Tryon Avenue,Englewood,07631,Bergen County,Englewood Public School District,2018
566,Mahatma K. Gandhi School,Public,"PK, KG-8",143 Romaine Ave,Jersey City,07306,Hudson County,Jersey City Public Schools,2018
567,School 24,Public,"PK, KG-8",50 Nineteenth Avenue,Paterson,07513,Passaic County,Paterson Public School District,2018
568,Belleville Middle School,Public,7-8,279 Washington Ave,Belleville,07109,Essex County,Belleville Public School District,2018
569,Woodrow Wilson School No. 19,Public,"PK, KG-8",529 Edgar Rd,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
570,Texas Avenue School,Public,K-8,2523 Arctic Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
571,Walter O. Krumbiegel Middle School,Public,7-8,145 Hillside Ave,Hillside,07205,Union County,Hillside Public School District,2018
572,William C. McGinnis Middle School,Public,5-8,271 State Street,Perth Amboy,08861,Middlesex County,Perth Amboy Public School District,2018
573,Dr Lena Edwards Academic Charter School,"Public, Charter",K-8,509 Bramhall Ave.,Jersey City,07304,Hudson County,Dr Lena Edwards Academic Charter School,2018
574,Madison Monroe School No. 16,Public,"PK, KG-8",1091 North Ave,Elizabeth,07201,Union County,Elizabeth Public Schools,2018
575,Myles J. McManus MIddle School,Public,6-8,300 Edgewood Road,Linden,07036,Union County,Linden Public School District,2018
576,North Plainfield Middle School,Public,7-8,34 Wilson Avenue,North Plainfield,07060,Somerset County,North Plainfield School District,2018
577,Grace Wilday Junior High School,Public,7-8,400 Brooklawn Ave,Roselle,07203,Union County,Roselle Public School District,2018
578,Leap Academy University Charter School,"Public, Charter, Alternative",K-12,130 North Broadway,Camden,08102,Camden County,LEAP Academy University Charter School,2018
579,Mckinley Community School,Public,"PK, KG-8",15 Van Dyke Ave,New Brunswick,08901,Middlesex County,New Brunswick School District,2018
580,Joseph A. Taub School,Public,6-8,202 Union Avenue,Paterson,07502,Passaic County,Paterson Public School District,2018
581,Orange Preparatory Academy,"Public, Alternative",8-9,400 Central Ave,Orange,07050,Essex County,ORANGE BOARD OF EDUCATION School District,2018
582,New Brunswick Middle School,Public,6-8,1125 Livingston Avenue,New Brunswick,08901,Middlesex County,New Brunswick School District,2018
583,Dr. Charles P. DeFuccio School,Public,"PK, KG-8",214 Plainfield Ave,Jersey City,07306,Hudson County,Jersey City Public Schools,2018
584,Lincoln Middle School,Public,7-8,121 Beech St,Kearny,07032,Hudson County,Kearny,2018
585,Downe Township Elementary School,Public,"PK, KG-8",220 Main St,Newport,08345,Cumberland County,Downe Township School District,2018
586,Prospect Park School No. 1,Public,"PK, KG-8",94 Brown Avenue,Prospect Park,07508,Passaic County,Prospect Park Public School District,2018
587,Sonia Sotomayor School No 25,Public,K-8,525 First Avenue,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
588,Cedarbrook Elementary School,Public,K-8,1049 Central Ave,Plainfield,07060,Union County,Plainfield Public School District,2018
589,Woodlynne Boro Public School,Public,"PK, KG-8",131 Elm Avenue,Woodlynne,08107,Camden County,Woodlynne School District,2018
590,Helen A. Fort Middle School,Public,7-8,101 Fort Dix Road,Pemberton,08068,Burlington County,Pemberton Township School District,2018
591,Peshine Avenue School,Public,"PK, KG-8",433 Peshine Avenue,Newark,07112,Essex County,Newark Public School District,2018
592,Buena Regional Middle School,Public,6-8,175 Weymouth Rd,Buena,08310,Atlantic County,Buena Regional School District,2018
593,Greater Brunswick Charter School,"Public, Charter",K-8,429 Joyce Kilmer Avenue,New Brunswick,08901,Middlesex County,Greater Brunswick Charter School,2018
594,School 7,Public,5-8,106 Ramsey Street,Paterson,07501,Passaic County,Paterson Public School District,2018
595,Rafael Cordero y Molina,Public,"PK, KG-8",158 Erie St,Jersey City,07302,Hudson County,Jersey City Public Schools,2018
596,Community Middle School,Public,7-8,120 East Second Street,Bound Brook,08805,Somerset County,Bound Brook School District,2018
597,University Heights Charter School,"Public, Charter","PK, KG-8",74 Hartford Street,Newark,07103,Essex County,University Heights Charter School,2018
598,Nicholas Murray Butler Academy School No. 23,Public,K-8,631-657 Westminstrer Avenue,Elizabeth,07208,Union County,Elizabeth Public Schools,2018
599,Benjamin Banneker Preparatory Charter School,"Public, Charter",K-8,11 South Sunset Road,Willingboro,08046,Burlington County,Benjamin Banneker Preparatory Charter School,2018
600,Cleveland Avenue School,Public,"PK, KG-8",388 Bergen St,Newark,07103,Essex County,Newark Public School District,2018
601,Union Avenue Middle School,Public,6-8,427     Union Ave,Irvington,07111,Essex County,Irvington Public School District,2018
602,Camden Street Elementary School,Public,"PK, KG-8",281 Camden St,Newark,07103,Essex County,Newark Public School District,2018
603,Mabel G. Homes School No. 5,Public,"PK, KG-8",650 Bayway Avenue,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
604,Avon Avenue School,Public,"PK, KG-8",219 Avon Ave,Newark,07108,Essex County,Newark Public School District,2018
605,Ivy Hill Elementary School,Public,"PK, KG-8",107 Ivy Street,Newark,07106,Essex County,Newark Public School District,2018
606,School 18,Public,1-8,51 E  18th Street,Paterson,07524,Passaic County,Paterson Public School District,2018
607,Lakeside Middle School,Public,6-8,2 N  Sharp St,Millville,08332,Cumberland County,Millville School District,2018
608,Broad Street School,Public,K-8,251 West Broad Street,Bridgeton,08302,Cumberland County,Bridgeton City School District,2018
609,McKinley Elementary School,Public,"PK, KG-8",1 Colonnade Pl,Newark,07104,Essex County,Newark Public School District,2018
610,Joseph R. Bolger Middle School,Public,6-8,100 Palmer Place,Keansburg,07734,Monmouth County,Keansburg School District,2018
611,Christopher Columbus School No. 15,Public,K-8,511 Third Ave,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
